,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,106.26,15.22,12.19,16.9,27.6,64.9,2012.12,3249.38,7553.9,,6645.97,9212.3,20288.68,36131.13,18903.55,20767.49
e_1,7.93,107.81,11.91,18.69,24.52,96.2,2007.96,3829.93,4096.81,6907.8,6825.8,9785.43,19252.06,34664.23,25767.32,
f_1,13.14,18.75,119.04,19.65,19.85,66.39,2131.25,1941.35,4095.15,4584.65,5541.67,,18245.99,23126.91,25259.46,32087.55
c_1,9.58,11.06,12.42,142.73,31.77,69.11,2178.72,3535.57,,3598.03,3072.6,7379.29,21335.95,30572.12,29712.71,39402.56
b_1,9.85,11.22,13.99,11.13,198.76,93.15,1494.57,2465.71,3166.58,3950.1,,7948.91,14862.56,27123.92,,22006.45
a_1,7.41,7.17,7.58,10.76,12.04,511.54,833.6,1523.5,2603.77,2170.78,3406.01,6118.71,11420.59,16778.65,,
h_1,5.12,3.86,6.42,6.62,14.31,32.99,3198.43,2649.71,2374.9,1672.58,2769.43,4261.21,,19522.38,11433.62,11968.82
g_1,6.85,3.45,6.18,5.49,10.77,41.08,551.05,5310.63,1287.15,1541.34,2776.0,5240.05,4020.46,,,
c_0,4.11,5.41,5.54,,9.22,24.92,888.32,1515.83,4459.99,1825.82,4551.95,3583.41,8174.48,13995.57,13692.06,16016.83
d_0,,4.28,6.31,10.99,9.63,32.79,976.29,1242.61,1432.17,4741.41,2209.46,4407.68,7952.22,14436.12,13875.82,11451.38
b_0,4.3,3.8,4.99,9.05,,20.99,556.69,1335.89,1248.65,2172.84,6202.9,3965.67,6386.06,13184.1,19357.06,
f_0,4.31,4.22,,5.09,7.23,24.81,592.38,888.7,1682.79,1381.31,1856.51,9225.21,7083.05,7662.67,9891.56,13422.88
h_0,3.69,3.75,5.83,5.05,9.43,22.88,,2055.82,1421.37,1508.68,2197.46,2579.82,,14328.62,,13091.92
g_0,4.18,3.22,4.59,4.19,6.17,24.69,529.06,,1248.43,1095.66,1312.58,4858.54,4072.88,,,9864.36
a_0,3.52,2.7,3.1,4.25,,,517.09,,779.42,703.29,934.81,2455.24,,,21481.22,
e_0,3.96,,2.51,2.72,6.37,,522.99,,793.06,1082.4,,2187.24,3948.84,5591.74,,24012.83
