,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.27,0.53,0.44,0.56,0.43,0.37,0.88,0.66,1.96,0.92,0.99,1.08,1.37,0.87,0.38,1.0
f_1,0.87,2.28,0.44,0.48,0.39,0.27,0.66,0.69,0.84,0.93,1.02,0.37,1.12,0.87,0.63,1.09
d_1,0.5,0.6,2.4,0.32,0.42,0.38,1.09,0.92,0.47,1.82,1.09,0.89,1.32,0.81,0.77,1.1
c_1,0.46,0.44,0.48,2.45,0.87,0.34,0.7,0.68,1.0,0.36,0.65,0.81,1.17,0.65,0.83,1.05
b_1,0.47,0.51,0.46,0.52,2.54,0.7,0.87,0.86,0.9,0.94,0.25,0.81,1.22,0.66,0.79,0.93
a_1,0.45,0.52,0.52,0.43,0.43,3.04,0.96,0.93,0.96,1.09,0.99,1.27,1.17,0.33,0.8,0.98
h_1,0.51,0.86,0.65,0.63,0.48,0.39,3.02,1.19,0.99,1.2,1.07,0.95,0.89,0.77,1.01,1.8
g_1,0.55,0.48,1.0,0.53,0.52,0.51,0.89,3.29,0.86,1.23,1.25,1.76,1.33,0.83,0.96,0.81
d_0,0.56,0.64,0.34,1.14,0.5,0.41,1.03,0.74,2.63,1.0,1.13,1.29,1.56,0.9,1.1,1.41
c_0,0.68,0.64,0.67,0.42,0.38,0.41,1.36,1.05,1.33,2.61,2.62,1.55,1.42,1.05,1.08,1.4
b_0,0.63,0.74,0.64,0.66,0.29,0.29,1.06,1.01,1.21,1.16,2.88,1.23,1.79,2.14,1.12,1.53
f_0,0.52,0.29,0.67,0.73,0.58,0.51,1.19,1.04,1.16,1.16,1.54,2.85,1.46,0.82,2.18,1.34
h_0,0.56,0.98,0.59,0.54,0.49,0.51,0.67,1.25,1.26,1.17,0.96,1.15,0.9,0.88,0.87,1.76
a_0,0.61,0.72,0.69,0.79,0.45,0.17,1.26,0.91,1.31,1.35,1.02,0.77,1.7,3.19,0.88,1.31
e_0,0.31,0.48,0.81,0.69,0.68,0.37,1.7,1.51,1.12,1.29,1.09,1.25,1.61,1.12,3.2,1.34
g_0,0.57,0.65,1.05,0.45,0.61,0.39,1.08,0.76,1.03,1.15,1.03,1.61,1.47,0.96,0.89,0.88
