,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.41,0.47,0.76,0.7,0.69,0.67,0.38,0.38,0.31,0.4,0.34,0.36,0.29,0.28,0.46,0.29
f_1,0.75,0.4,0.71,0.55,0.66,0.62,0.3,0.33,0.29,0.35,0.3,0.36,0.28,0.21,0.27,0.3
c_1,0.55,0.65,0.39,0.81,0.77,0.65,0.41,0.2,0.34,0.36,0.3,0.3,0.27,0.24,0.25,0.25
d_1,0.77,0.83,0.63,0.38,0.63,0.58,0.31,0.41,0.33,0.26,0.27,0.29,0.32,0.24,0.28,0.18
b_1,0.68,0.73,0.43,0.68,0.37,0.82,0.39,0.3,0.36,0.39,0.4,0.32,0.33,0.29,0.26,0.28
a_1,0.74,0.74,0.7,0.79,0.41,0.3,0.36,0.32,0.31,0.41,0.3,0.36,0.46,0.27,0.32,0.25
h_1,0.64,0.7,0.58,0.63,0.56,0.55,0.24,0.28,0.28,0.38,0.28,0.26,0.28,0.29,0.29,0.26
d_0,0.43,0.61,0.78,0.75,0.65,0.66,0.39,0.24,0.27,0.39,0.31,0.28,0.28,0.28,0.3,0.25
c_0,0.68,0.65,0.92,0.42,0.62,0.6,0.33,0.38,0.23,0.34,0.38,0.28,0.33,0.27,0.35,0.23
g_1,0.64,0.7,0.63,0.64,0.67,0.54,0.26,0.3,0.26,0.22,0.26,0.31,0.25,0.2,0.31,0.26
b_0,0.57,0.61,0.8,0.59,0.75,0.59,0.33,0.28,0.18,0.34,0.23,0.25,0.33,0.23,0.31,0.22
f_0,0.52,0.87,0.67,0.65,0.63,0.61,0.35,0.3,0.28,0.24,0.3,0.21,0.29,0.23,0.34,0.18
a_0,0.56,0.67,0.76,0.59,0.72,0.68,0.34,0.3,0.24,0.37,0.18,0.28,0.2,0.25,0.29,0.25
h_0,0.61,0.67,0.68,0.63,0.61,0.53,0.38,0.28,0.27,0.34,0.3,0.29,0.25,0.27,0.25,0.25
e_0,0.62,0.81,0.68,0.71,0.67,0.48,0.32,0.27,0.26,0.29,0.28,0.17,0.26,0.25,0.18,0.23
g_0,0.59,0.63,0.68,0.67,0.62,0.57,0.27,0.3,0.28,0.4,0.28,0.33,0.28,0.2,0.29,0.27
