,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,3.56,4.37,5.4,3.91,4.36,0.81,0.9,1.48,0.78,0.92,3.11,0.41,0.85,1.0,0.96
e_1,2.38,0.43,4.45,4.76,5.39,4.38,1.18,1.02,1.39,0.89,0.93,1.43,0.68,0.94,4.03,0.64
d_1,4.81,5.53,0.43,5.52,3.56,4.13,1.37,0.77,0.66,3.99,0.99,0.81,0.57,0.87,0.95,0.5
c_1,5.42,3.85,7.07,0.4,6.91,4.32,1.24,3.94,1.27,0.48,0.81,0.83,0.61,0.74,0.68,0.71
b_1,4.71,5.82,5.04,2.16,0.4,5.82,1.81,1.11,1.31,1.24,3.55,0.92,0.89,1.07,0.95,0.65
a_1,5.87,5.74,5.99,7.49,2.88,0.34,1.37,1.18,1.92,1.23,1.66,1.53,1.09,7.08,1.26,0.84
h_1,5.26,4.29,5.35,5.31,4.8,4.15,0.37,1.06,1.97,0.99,1.01,0.94,1.73,1.06,1.06,0.65
c_0,6.94,5.66,2.69,21.99,6.28,5.63,1.71,0.45,1.71,1.58,1.02,0.95,0.89,1.07,0.92,0.81
g_1,5.81,6.67,5.41,5.85,5.31,7.06,1.24,1.01,0.32,1.43,1.04,1.07,0.61,0.87,1.0,1.45
d_0,5.32,2.96,11.47,6.91,6.34,4.78,2.25,1.15,2.71,0.45,1.33,1.18,0.78,1.2,1.01,0.68
b_0,6.11,6.33,4.39,5.9,21.77,7.27,1.69,0.61,1.8,1.13,0.4,1.13,1.05,1.1,1.28,0.64
f_0,20.48,5.96,5.22,6.76,6.73,4.74,2.12,1.06,1.2,1.33,1.03,0.39,0.95,1.12,1.2,0.51
h_0,8.18,6.12,5.63,6.68,6.45,6.76,5.22,1.18,2.26,1.59,1.17,1.16,2.72,1.08,1.65,1.16
a_0,8.6,8.67,5.81,6.41,8.72,,1.72,1.15,2.24,1.58,0.68,1.01,1.32,0.38,1.27,1.43
e_0,8.38,14.37,5.95,8.13,8.53,8.46,2.36,1.26,2.88,1.51,1.07,0.59,0.9,1.29,0.34,1.0
g_0,7.98,7.23,7.73,6.72,7.4,7.41,1.95,1.7,6.89,2.18,1.65,1.43,0.98,1.56,1.47,2.98
