,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.42,0.97,0.83,0.88,0.76,0.73,0.38,0.51,0.35,0.36,0.41,0.6,0.27,0.3,0.38,0.45
e_1,0.55,0.41,0.98,0.99,0.94,1.1,0.53,0.56,0.39,0.5,0.37,0.52,0.32,0.76,0.49,0.37
d_1,0.95,0.9,0.41,0.88,0.8,0.85,0.47,0.32,0.47,0.53,0.4,0.36,0.32,0.38,0.32,0.25
c_1,0.88,0.72,0.99,0.37,1.18,0.8,0.44,0.51,0.55,0.24,0.36,0.36,0.31,0.43,0.38,0.31
b_1,1.0,1.02,0.8,0.53,0.37,1.07,0.48,0.5,0.43,0.45,0.55,0.39,0.45,0.42,0.39,0.35
a_1,1.07,0.84,0.88,0.91,0.56,0.29,0.51,0.54,0.45,0.45,0.5,0.44,0.42,0.41,0.83,0.35
h_1,0.86,0.75,0.79,0.81,0.77,0.64,0.25,0.45,0.36,0.32,0.33,0.39,0.39,0.3,0.34,0.36
g_1,0.77,0.73,0.9,0.77,0.84,0.84,0.38,0.23,0.31,0.35,0.34,0.4,0.24,0.34,0.34,0.35
c_0,0.86,0.94,0.47,1.29,0.75,0.65,0.47,0.54,0.25,0.54,0.48,0.35,0.3,0.37,0.38,0.28
d_0,0.81,0.47,1.17,0.95,0.83,0.79,0.48,0.52,0.3,0.25,0.33,0.31,0.29,0.43,0.43,0.33
b_0,0.79,0.67,0.71,1.02,1.17,0.72,0.46,0.43,0.21,0.38,0.25,0.33,0.33,0.36,0.4,0.29
f_0,1.26,0.62,0.76,0.95,0.76,0.82,0.4,0.27,0.34,0.41,0.34,0.24,0.31,0.62,0.35,0.21
h_0,0.82,0.78,0.76,0.86,0.71,0.75,0.54,0.46,0.34,0.34,0.3,0.3,0.4,0.28,0.34,0.28
e_0,1.25,0.82,0.67,0.89,0.84,0.63,0.53,0.45,0.31,0.33,0.35,0.18,0.34,0.2,0.32,0.26
a_0,0.84,0.74,0.78,0.95,0.94,0.91,0.38,0.43,0.29,0.36,0.2,0.3,0.3,0.32,0.2,0.29
g_0,0.83,0.72,0.79,0.85,0.85,0.78,0.29,0.49,0.32,0.33,0.36,0.37,0.28,0.35,0.27,0.39
