,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,1.11,1.54,1.91,4.37,19.65,40.21,33.83,32.07,47.88,62.16,72.46,97.77,116.72,104.91
f_1,1.27,1.0,0.97,1.33,1.65,4.59,15.86,28.73,25.24,31.62,28.12,46.98,60.67,79.99,99.54,99.22
d_1,0.9,1.03,1.0,1.24,2.14,3.79,16.17,34.08,34.6,26.34,35.64,49.77,77.86,95.17,86.1,106.05
c_1,0.65,0.75,0.81,1.0,1.73,4.13,13.41,16.01,14.24,20.8,22.49,43.18,51.23,72.87,77.66,108.81
b_1,0.52,0.61,0.47,0.58,1.0,2.56,9.08,13.02,13.51,14.94,16.69,27.29,35.91,46.39,42.16,57.95
a_1,0.23,0.22,0.26,0.24,0.39,1.0,4.85,6.34,6.31,6.73,10.56,10.43,17.75,,21.13,26.0
h_1,0.05,0.06,0.06,0.07,0.11,0.19,1.0,1.29,1.49,2.12,1.88,2.75,4.02,4.62,6.55,5.88
d_0,0.02,0.04,0.03,0.07,0.08,0.16,0.78,1.0,1.03,1.14,1.5,1.82,3.19,3.13,3.79,4.81
c_0,0.03,0.04,0.03,0.07,0.07,0.15,0.68,0.95,1.0,1.19,1.76,1.88,2.74,3.67,3.91,5.66
g_1,0.03,0.03,0.04,0.05,0.07,0.14,0.47,0.83,0.88,1.0,1.08,1.73,2.15,2.97,3.36,4.01
b_0,0.02,0.04,0.03,0.04,0.05,0.1,0.54,0.7,0.56,0.96,1.0,1.43,2.16,3.11,2.37,3.46
f_0,0.02,0.02,0.02,0.02,0.04,0.1,0.36,0.53,0.53,0.58,0.7,1.0,1.66,1.69,1.52,4.92
h_0,0.01,0.02,0.01,0.02,0.03,0.06,0.24,0.33,0.36,0.49,0.45,0.59,1.0,1.21,1.63,1.78
a_0,0.01,0.01,0.01,0.01,0.02,,0.21,0.31,0.28,0.31,0.34,0.65,0.85,1.0,1.27,1.54
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.15,0.26,0.25,0.31,0.42,0.62,0.62,0.71,,1.42
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.18,0.22,0.16,0.24,0.28,0.23,0.56,0.61,0.67,1.0
