,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.51,0.7,1.08,0.78,0.65,0.57,0.77,0.64,0.87,0.88,0.76,0.54,0.9,0.68,0.78,0.56
d_1,0.81,1.53,0.73,0.59,0.72,0.6,0.93,0.77,1.33,0.65,0.95,0.93,0.9,0.82,0.94,0.77
e_1,0.77,0.74,1.53,0.84,0.68,0.57,0.87,0.88,0.88,1.39,0.86,0.92,1.04,0.7,0.91,0.48
c_1,0.74,0.8,0.69,1.58,1.14,0.65,0.84,0.73,0.54,0.69,0.59,0.77,0.82,0.62,0.86,0.75
b_1,0.79,0.78,0.72,0.68,1.61,1.11,0.91,0.81,0.77,0.84,0.56,0.76,0.89,0.64,0.87,0.81
a_1,0.96,0.92,0.89,0.7,0.57,1.7,0.98,0.95,0.86,0.89,1.13,0.78,1.04,0.65,0.93,0.61
h_1,1.3,1.0,0.95,0.93,0.86,0.78,1.75,1.21,1.17,1.0,1.1,1.05,0.93,0.91,1.3,0.9
g_1,1.08,1.36,0.9,0.94,0.96,0.75,1.12,1.82,1.17,0.91,1.12,1.43,1.3,1.0,0.92,1.07
c_0,1.13,1.02,0.98,0.94,0.81,0.9,1.22,1.24,1.65,1.19,2.02,1.21,1.33,1.08,1.14,1.12
d_0,1.05,0.68,0.83,1.77,1.0,0.87,1.2,1.36,0.93,1.63,1.21,1.17,1.22,0.94,1.26,1.05
b_0,1.15,1.21,0.96,1.28,0.64,0.64,1.25,1.17,1.03,1.26,1.73,1.18,1.45,2.0,1.33,1.12
f_0,0.93,1.16,0.95,1.09,0.95,0.98,1.28,1.15,1.16,1.24,1.18,1.74,1.42,1.05,1.22,1.92
h_0,1.28,1.13,1.06,1.11,0.99,0.88,1.03,1.37,1.27,1.3,1.27,1.1,1.04,1.01,1.62,0.99
a_0,1.19,1.09,1.08,1.21,1.01,0.6,1.33,1.23,1.25,1.44,0.96,1.34,1.67,1.81,1.4,1.36
g_0,1.11,1.38,0.96,1.11,1.02,0.85,1.25,1.08,1.41,1.27,1.12,1.65,1.24,1.14,1.08,1.23
e_0,1.24,1.29,0.93,1.12,1.01,1.02,1.42,1.18,1.21,1.16,1.3,1.04,1.44,1.11,1.26,1.84
