,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,23.95,0.31,0.72,0.36,0.35,0.22,0.82,0.65,0.71,0.72,0.9,0.14,0.64,0.63,0.49,0.82
d_1,0.41,26.59,0.24,0.28,0.36,0.32,0.78,0.14,0.79,1.6,0.77,0.78,1.02,1.04,0.98,0.89
e_1,0.33,0.31,25.09,0.36,0.34,0.43,0.63,1.68,0.68,0.79,0.81,0.81,0.88,0.72,0.24,0.74
c_1,0.33,0.35,0.31,28.17,0.6,0.38,0.54,0.78,0.82,0.16,0.64,0.86,0.84,0.86,0.57,0.96
b_1,0.3,0.45,0.31,0.28,31.99,0.74,0.82,0.69,0.59,0.63,0.13,0.76,0.98,0.52,0.73,0.95
a_1,0.37,0.37,0.33,0.32,0.4,43.99,0.68,0.83,0.76,0.77,0.57,0.87,0.85,0.16,1.0,0.78
h_1,0.84,0.48,0.65,0.79,0.51,0.54,10.05,1.04,1.69,1.6,1.66,1.43,0.75,1.5,1.75,1.83
d_0,0.57,0.22,0.53,1.72,0.51,0.68,1.49,5.24,0.89,1.26,2.08,1.71,1.36,1.41,1.48,1.61
g_1,0.56,1.06,0.48,0.62,0.63,0.43,1.17,1.6,12.19,1.08,1.67,2.74,1.86,1.4,1.85,0.65
c_0,0.75,0.53,0.88,0.23,0.47,0.61,1.56,1.81,1.23,6.12,4.55,1.95,2.04,1.58,1.9,1.56
b_0,0.71,0.74,0.67,0.84,0.15,0.52,1.51,1.71,1.4,1.48,6.06,1.35,2.13,3.43,2.04,1.62
f_0,0.27,0.69,0.53,0.84,0.81,0.62,1.23,1.95,1.46,1.73,1.55,7.17,1.51,1.7,3.73,1.49
h_0,1.14,0.71,0.5,0.6,0.54,0.58,0.61,1.38,1.63,1.08,1.65,1.73,0.49,1.31,1.87,2.03
a_0,0.56,0.76,0.69,0.81,0.51,0.23,1.61,1.88,1.12,1.91,1.55,1.93,2.3,9.14,1.48,1.95
e_0,0.97,0.75,0.14,0.85,0.38,0.6,1.9,1.43,1.35,1.88,1.63,1.8,2.16,2.68,9.9,1.89
g_0,0.55,1.13,0.5,0.67,0.59,0.71,1.2,1.14,0.51,1.47,2.02,2.87,1.02,1.76,2.13,0.75
