,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.39,1.21,1.55,0.97,1.12,1.05,2.0,2.2,2.43,2.29,2.87,1.51,2.42,2.89,2.22,2.98
c_1,1.07,2.49,0.99,1.88,1.23,1.02,1.85,2.26,1.13,2.14,1.52,2.04,2.03,3.01,2.28,3.11
e_1,1.13,1.44,2.52,1.14,0.88,1.0,2.64,4.01,2.41,2.03,2.66,2.55,2.37,3.25,1.27,3.34
b_1,1.24,0.97,1.09,2.6,1.16,1.78,2.29,2.15,2.4,2.4,1.71,2.54,2.12,2.72,3.0,2.86
d_1,1.15,0.78,1.27,1.1,2.64,1.17,2.05,1.86,4.0,1.97,2.97,3.27,3.09,3.38,2.72,2.8
a_1,1.25,1.18,1.12,0.95,1.35,3.19,2.47,2.16,2.22,2.16,2.88,2.72,2.06,2.76,2.84,3.25
h_1,1.54,1.47,1.11,1.11,1.31,1.06,4.18,2.62,2.51,3.21,2.77,2.58,2.76,2.71,2.38,3.83
d_0,1.32,2.05,1.04,1.32,0.87,1.16,2.35,3.86,2.06,2.22,2.12,2.61,2.57,3.49,3.24,3.18
c_0,1.38,1.1,1.27,1.03,1.22,1.25,2.61,3.04,4.06,2.45,4.73,3.12,3.61,3.8,3.2,3.54
g_1,1.09,1.25,1.18,1.01,1.95,1.05,1.84,2.42,2.82,4.58,2.65,3.65,2.93,3.32,2.75,2.71
b_0,1.24,1.55,1.2,0.88,1.3,1.05,2.22,3.41,2.43,2.33,4.33,2.65,5.0,3.65,2.92,4.0
f_0,1.2,1.55,1.14,1.17,1.2,1.4,2.69,3.15,2.87,2.08,3.11,4.52,2.77,3.68,4.88,3.02
a_0,1.52,1.39,1.33,1.28,1.12,0.83,2.57,2.97,2.41,2.35,2.33,3.05,5.0,4.26,3.02,3.11
h_0,1.67,1.33,1.1,1.25,1.18,1.27,1.55,3.09,2.59,2.95,3.0,2.45,2.75,2.64,3.25,3.52
e_0,1.53,1.13,1.01,1.22,1.38,1.12,2.87,2.49,2.65,2.47,2.63,2.62,2.89,3.29,5.12,3.85
g_0,1.08,1.23,1.09,1.19,1.85,1.26,2.54,2.78,2.57,1.61,2.39,4.13,2.81,3.61,3.52,2.62
