,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.87,0.13,0.07,0.07,0.07,0.09,0.27,0.34,0.41,0.45,0.4,,0.35,0.64,,0.62
e_1,0.08,6.01,0.05,0.08,0.11,0.07,0.3,0.19,0.39,0.73,0.3,0.38,0.41,0.55,,0.56
d_1,0.09,0.08,6.17,0.08,0.08,0.08,0.3,0.28,0.65,,0.35,0.53,0.4,0.57,0.34,0.57
c_1,0.06,0.08,0.08,6.3,0.16,0.09,0.31,0.21,,0.5,0.24,0.37,0.32,0.71,0.31,0.69
b_1,0.09,0.07,0.08,0.08,6.89,0.12,0.27,0.2,0.32,0.33,,0.35,0.43,0.77,0.56,0.59
a_1,0.09,0.07,0.09,0.06,0.08,10.28,0.26,0.3,0.29,0.5,0.23,0.38,,0.65,,0.7
h_1,0.44,0.27,0.32,0.26,0.29,0.17,15.35,1.69,2.04,1.15,1.31,1.23,1.06,,1.12,3.01
g_1,0.25,0.22,0.52,0.35,0.24,0.21,0.91,17.86,0.99,1.0,1.39,3.02,1.32,2.31,1.81,
c_0,0.31,0.39,0.42,,0.36,0.44,1.56,1.65,12.75,1.73,3.94,2.35,2.1,2.67,1.46,2.09
d_0,0.37,0.42,,0.76,0.41,0.41,2.54,1.06,1.21,12.68,2.06,1.66,1.66,2.61,1.37,2.56
b_0,0.46,0.48,0.39,0.31,,0.29,1.31,1.52,1.97,1.66,14.41,2.25,3.36,3.18,1.67,2.9
f_0,,0.4,0.45,0.45,0.25,0.43,1.23,1.51,2.58,2.06,1.89,16.2,1.88,2.78,4.85,2.11
a_0,0.35,0.29,0.44,0.38,0.33,,1.52,1.06,1.92,2.03,2.42,1.63,20.05,4.27,,2.99
h_0,0.77,0.52,0.51,0.51,0.49,0.5,,4.09,3.13,2.98,3.39,1.77,2.65,,3.52,5.31
e_0,,,0.38,0.41,0.27,,1.81,1.71,2.18,2.42,1.91,1.85,,3.02,23.48,3.2
g_0,0.5,0.62,0.82,0.63,0.57,0.63,2.37,,3.08,1.78,3.66,3.91,2.46,3.19,3.0,
