,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.29,1.19,1.33,0.84,1.01,0.83,1.98,3.48,1.77,2.06,1.5,1.84,2.48,1.8,1.48,2.49
f_1,1.74,2.29,1.08,0.98,0.9,0.65,1.63,2.23,1.8,1.82,1.31,1.23,2.37,1.88,1.46,2.08
c_1,0.96,1.1,2.45,1.04,1.71,0.87,2.03,2.09,1.19,1.27,1.37,1.6,2.49,1.48,1.75,2.23
d_1,1.15,1.17,0.77,2.55,0.9,0.84,2.06,1.56,3.86,2.58,1.71,2.15,2.79,1.91,1.85,2.59
b_1,1.02,1.17,1.07,0.99,2.66,1.63,1.98,2.23,1.99,1.51,1.41,1.72,2.49,1.5,1.87,1.89
a_1,1.07,1.28,1.13,1.0,0.89,3.15,2.1,2.02,2.57,2.04,1.69,1.84,3.39,1.53,1.9,2.7
h_1,1.15,1.55,1.09,1.2,0.95,0.77,3.42,1.94,2.38,2.19,2.22,2.19,2.11,1.93,1.98,3.15
d_0,1.12,1.1,1.97,0.87,1.19,0.77,2.12,3.33,1.5,1.86,1.66,1.93,2.52,1.84,1.94,2.76
c_0,1.27,1.27,0.89,1.21,0.78,0.88,1.94,2.43,3.52,3.86,2.13,2.32,3.2,2.52,1.95,2.73
b_0,1.28,1.31,1.23,1.1,0.77,0.59,2.24,2.5,2.65,3.7,2.14,2.08,2.92,4.15,2.17,2.93
g_1,1.07,1.16,1.12,1.57,0.97,0.74,2.29,1.9,2.46,2.16,4.29,3.14,2.7,2.15,2.08,2.43
f_0,0.95,1.07,1.2,1.31,1.01,0.94,2.38,2.35,2.48,2.3,2.44,3.99,3.22,2.0,4.14,2.82
h_0,1.16,1.5,1.14,1.29,0.94,0.76,1.83,2.05,2.14,2.19,2.33,2.02,2.45,2.01,1.92,3.52
a_0,1.28,1.28,1.28,1.2,0.89,0.54,2.37,2.51,2.24,2.1,2.01,2.2,2.69,3.73,2.32,2.87
e_0,0.93,1.35,1.07,1.43,1.12,0.9,2.06,2.02,2.57,2.29,2.2,2.17,3.44,2.13,3.84,2.77
g_0,0.99,1.09,1.15,1.65,1.02,0.8,2.09,2.04,2.62,2.08,1.74,3.37,2.87,2.01,2.12,2.23
