,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,1.24,1.27,1.79,4.42,18.59,32.83,42.94,48.04,51.25,48.06,79.3,105.35,192.85,153.17
f_1,1.24,1.0,1.24,1.35,1.42,3.4,13.78,25.95,22.17,39.88,61.91,50.47,66.77,68.76,85.91,119.44
c_1,0.81,0.81,1.0,1.16,1.47,2.99,14.96,20.93,15.17,28.59,42.15,37.03,73.28,79.34,80.32,99.7
d_1,0.79,0.74,0.86,1.0,1.0,3.24,14.55,16.39,19.68,42.05,43.4,39.08,65.21,59.02,76.54,82.79
b_1,0.56,0.7,0.68,1.0,1.0,3.67,13.2,19.42,19.72,34.48,35.67,47.17,44.97,63.41,69.49,122.66
a_1,0.23,0.29,0.33,0.31,0.27,1.0,4.92,6.54,6.76,13.3,10.74,13.46,13.11,24.0,32.45,27.65
h_1,0.05,0.07,0.07,0.07,0.08,0.2,1.0,1.85,1.61,2.63,2.28,2.82,4.26,4.7,5.72,7.86
g_1,0.03,0.04,0.05,0.06,0.05,0.15,0.55,1.0,1.01,1.68,2.25,1.79,2.63,2.94,4.24,6.18
d_0,0.02,0.05,0.07,0.05,0.05,0.14,0.63,0.99,1.0,1.61,1.57,1.92,3.0,3.27,3.71,6.7
c_0,0.02,0.03,0.03,0.02,0.03,0.07,0.37,0.59,0.57,1.0,1.0,1.61,1.64,1.94,2.13,3.78
f_0,0.02,0.02,0.03,0.02,0.03,0.09,0.44,0.43,0.61,0.89,1.0,1.17,1.73,1.96,3.3,2.46
b_0,0.02,0.02,0.03,0.03,0.02,0.07,0.33,0.55,0.5,0.6,0.9,1.0,2.13,1.68,2.04,2.6
a_0,0.01,0.01,0.01,0.02,0.02,,0.22,0.39,0.35,0.57,0.57,0.49,1.0,1.02,1.71,1.72
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.2,0.34,0.3,0.51,0.5,0.59,0.95,1.0,1.15,1.77
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.24,0.25,0.45,0.31,0.52,0.54,0.91,1.01,1.05
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.13,0.18,0.17,0.28,0.42,0.36,0.53,0.54,0.99,1.0
