,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.41,1.01,0.99,1.34,1.2,1.25,2.36,3.63,2.5,2.66,2.48,2.68,3.06,3.09,3.14,2.0
f_1,1.88,2.49,1.07,1.07,0.98,0.85,1.69,2.44,1.83,2.26,2.3,1.39,2.72,2.19,2.98,1.55
d_1,1.12,1.27,2.53,0.99,1.07,1.11,2.36,1.8,1.85,3.84,3.12,2.67,3.18,2.48,2.81,2.44
c_1,0.96,1.15,1.19,2.55,1.75,1.07,2.26,2.06,2.16,1.3,1.95,2.11,3.1,2.22,3.0,2.72
b_1,1.02,1.12,1.25,0.97,2.67,1.89,2.22,2.37,2.12,2.45,1.48,2.73,2.84,2.02,2.76,3.02
a_1,1.01,1.29,1.22,1.29,1.0,3.23,2.15,2.48,2.36,2.74,3.08,2.87,3.09,1.83,2.67,2.57
h_1,1.09,1.66,1.29,1.15,1.1,1.14,4.08,2.97,3.11,2.68,2.19,2.56,2.43,2.82,5.28,3.07
d_0,1.1,1.23,0.77,2.07,1.27,1.24,2.3,3.84,2.27,2.11,2.86,2.66,3.88,2.5,3.34,2.86
g_1,1.03,1.18,1.83,1.27,1.16,0.97,2.15,2.46,4.61,2.48,2.8,4.0,3.24,2.98,2.59,3.24
c_0,1.15,1.44,1.1,1.27,1.18,1.24,2.48,3.18,2.59,3.97,4.98,2.82,3.89,3.14,3.45,3.03
b_0,1.39,1.41,1.09,1.48,0.93,0.76,3.0,2.63,2.71,2.1,4.41,3.25,4.22,5.3,3.34,2.48
f_0,1.03,0.95,1.43,1.52,1.27,1.19,2.71,2.78,2.34,2.59,2.61,4.35,3.73,2.89,3.6,5.22
h_0,1.28,1.59,1.21,1.34,1.31,1.0,1.93,2.49,2.97,2.41,2.7,2.64,2.51,2.73,3.81,2.98
a_0,1.17,1.41,1.46,1.34,1.2,0.63,2.68,2.91,2.66,2.53,2.26,3.12,4.46,4.99,4.4,3.07
g_0,1.07,1.21,1.83,1.26,1.39,1.21,1.76,2.41,1.9,2.98,2.7,3.68,3.26,2.39,3.06,3.3
e_0,0.87,1.76,1.54,1.27,1.08,1.08,2.39,2.6,2.36,2.88,3.26,2.27,3.82,2.91,3.38,5.16
