,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.25,0.87,0.9,0.77,0.62,0.39,0.4,0.4,0.38,0.38,0.37,0.3,0.28,0.25,0.34
e_1,0.81,1.0,1.18,0.85,0.85,0.75,0.49,0.59,0.45,0.39,0.46,0.38,0.39,0.34,0.35,0.29
c_1,1.14,0.84,1.0,1.12,1.24,0.73,0.45,0.33,0.45,0.35,0.4,0.33,0.37,0.29,0.31,0.34
d_1,1.11,1.16,0.88,1.0,0.89,0.76,0.53,0.49,0.38,0.6,0.45,0.46,0.39,0.33,0.31,0.27
b_1,1.3,1.18,0.83,1.12,1.0,1.23,0.58,0.52,0.55,0.5,0.43,0.43,0.44,0.36,0.38,0.37
a_1,1.57,1.35,1.36,1.34,0.81,1.0,0.7,0.63,0.6,0.58,0.5,0.57,0.5,0.43,0.49,0.42
h_1,2.59,2.05,2.23,1.9,1.75,1.41,1.0,0.81,1.04,0.8,0.77,0.85,0.69,0.57,0.63,0.72
d_0,2.34,1.73,3.1,2.19,1.93,1.57,1.22,1.0,1.05,0.87,0.99,0.97,0.8,0.66,0.68,0.91
g_1,2.45,2.19,2.08,2.57,1.94,1.66,0.95,0.95,1.0,0.82,1.15,0.87,0.73,0.76,0.81,0.69
c_0,2.62,2.56,2.63,1.71,2.09,1.78,1.25,1.14,1.21,1.0,0.97,1.46,0.92,0.86,0.89,0.76
f_0,2.75,2.09,2.48,2.28,2.29,2.0,1.32,1.07,0.87,1.03,1.0,0.99,0.89,1.13,0.79,0.66
b_0,2.83,2.65,3.24,2.16,2.28,1.67,1.26,1.04,1.13,0.69,0.95,1.0,0.89,0.77,1.09,0.82
h_0,3.38,2.7,2.62,2.57,2.3,2.0,1.46,1.21,1.31,1.07,1.03,1.09,1.0,0.84,0.82,0.94
e_0,3.72,3.01,3.29,2.85,2.99,2.27,1.78,1.48,1.34,1.16,0.92,1.27,1.18,1.0,1.06,1.01
a_0,3.91,3.06,3.3,3.0,2.86,1.9,1.62,1.4,1.27,1.08,1.3,0.92,1.21,0.94,1.0,1.04
g_0,2.84,3.35,3.02,3.61,2.71,2.46,1.35,1.14,1.38,1.36,1.49,1.26,1.02,0.97,0.9,1.0
