,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.14,5.91,10.94,11.32,12.69,10.7,3.64,3.66,2.25,2.05,2.45,2.43,1.73,1.96,2.31,7.86
f_1,9.84,1.14,10.76,11.86,10.42,11.01,2.4,3.04,2.19,2.64,2.14,7.92,1.0,1.78,2.49,2.14
d_1,12.95,14.55,1.14,10.74,12.01,15.1,3.18,2.19,11.84,2.2,2.49,2.15,1.88,0.9,2.26,2.6
c_1,11.08,13.77,16.03,1.14,11.54,11.66,3.83,3.15,1.59,9.22,2.0,2.37,1.89,2.07,2.01,2.09
b_1,13.37,16.63,13.0,8.12,1.15,12.1,3.59,5.45,2.43,4.45,11.33,2.91,1.97,1.96,3.43,2.97
a_1,23.81,21.26,27.52,21.13,11.58,1.15,6.52,7.13,4.46,4.12,4.61,3.99,2.83,2.91,9.89,3.11
h_1,22.23,25.66,26.64,24.93,37.27,22.92,1.91,7.21,6.19,4.51,4.13,5.6,9.35,3.97,5.09,4.93
g_1,33.55,32.66,32.7,33.24,41.53,29.52,8.54,1.9,6.87,5.11,6.28,5.6,4.02,14.54,7.21,6.35
d_0,17.24,30.19,71.8,37.99,33.8,33.59,10.35,11.53,2.68,6.57,5.85,7.92,4.78,6.02,6.65,7.86
c_0,46.12,31.8,16.94,93.85,32.3,49.95,12.22,11.34,9.81,2.64,11.09,7.05,6.14,7.76,5.24,6.47
b_0,40.11,37.82,36.3,72.52,93.77,38.96,10.35,15.38,9.68,4.35,2.73,7.92,7.17,5.45,6.92,9.17
f_0,45.56,128.32,41.29,48.35,33.8,36.07,9.46,7.36,7.47,6.57,11.33,2.74,7.54,4.31,9.89,7.02
h_0,55.07,60.9,47.87,46.93,43.39,51.26,40.0,16.09,9.81,13.73,9.83,8.73,21.5,8.51,8.05,10.65
g_0,72.35,78.11,56.95,62.57,59.33,62.84,13.33,40.71,13.47,9.51,10.22,9.2,7.41,19.39,10.81,11.79
a_0,69.62,92.13,55.05,56.98,70.9,139.14,14.92,15.73,13.74,10.84,6.51,9.72,8.11,10.91,2.96,12.22
e_0,119.03,70.45,61.17,66.48,66.07,72.15,15.44,15.38,13.47,15.85,11.09,5.66,9.56,10.26,15.73,2.87
