,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.95,0.55,0.5,0.6,0.48,0.34,0.39,0.34,0.55,0.31,0.33,0.31,0.34,0.28,0.22,0.25
f_1,0.86,0.95,0.5,0.5,0.44,0.29,0.35,0.31,0.34,0.27,0.23,0.27,0.28,0.2,0.17,0.29
d_1,0.63,0.61,0.95,0.46,0.46,0.35,0.36,0.31,0.3,0.55,0.34,0.36,0.32,0.25,0.25,0.24
c_1,0.54,0.62,0.57,0.95,0.79,0.33,0.4,0.35,0.3,0.24,0.29,0.25,0.33,0.26,0.26,0.28
b_1,0.57,0.65,0.55,0.47,0.94,0.62,0.46,0.38,0.36,0.4,0.37,0.28,0.33,0.27,0.27,0.31
a_1,0.66,0.8,0.67,0.66,0.5,0.94,0.5,0.33,0.41,0.39,0.36,0.4,0.37,0.24,0.26,0.36
h_1,0.86,1.02,0.88,0.75,0.65,0.44,0.8,0.63,0.48,0.48,0.48,0.44,0.39,0.37,0.36,0.46
g_1,0.86,0.88,1.13,0.74,0.64,0.55,0.56,0.78,0.51,0.52,0.69,0.44,0.46,0.43,0.47,0.37
d_0,0.74,0.96,0.75,1.25,0.82,0.54,0.66,0.5,0.7,0.45,0.5,0.47,0.51,0.43,0.4,0.47
c_0,1.03,1.03,0.81,0.72,0.66,0.54,0.63,0.55,0.6,0.71,0.57,0.86,0.56,0.51,0.43,0.5
f_0,0.81,0.95,0.97,0.98,0.78,0.6,0.66,0.53,0.61,0.57,0.71,0.56,0.57,0.47,0.72,0.48
b_0,1.04,1.01,0.99,0.89,0.74,0.46,0.65,0.59,0.56,0.44,0.55,0.69,0.6,0.76,0.48,0.49
h_0,1.01,1.27,1.07,0.92,0.79,0.63,0.57,0.69,0.62,0.54,0.56,0.5,0.48,0.4,0.46,0.58
a_0,1.06,1.2,1.02,0.87,0.84,0.56,0.72,0.58,0.59,0.55,0.58,0.46,0.61,0.65,0.49,0.5
e_0,0.87,1.34,1.09,0.91,0.88,0.56,0.75,0.6,0.66,0.67,0.46,0.58,0.6,0.54,0.65,0.56
g_0,0.97,0.93,1.49,1.04,0.8,0.58,0.67,0.62,0.6,0.65,0.75,0.63,0.57,0.49,0.44,0.46
