,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.39,1.39,1.29,1.77,1.57,1.52,2.73,5.17,3.09,3.01,3.77,3.92,2.94,4.14,2.86,4.56
f_1,2.11,2.46,1.44,1.53,1.24,1.27,2.49,3.13,2.97,3.06,3.04,2.21,3.37,3.77,2.48,3.56
d_1,1.56,1.53,2.56,1.27,1.33,1.4,3.24,2.5,2.72,4.96,3.75,3.38,3.65,3.96,3.76,3.92
c_1,1.34,1.38,1.54,2.59,2.36,1.49,2.82,2.59,2.55,2.09,2.44,3.25,3.04,3.97,3.24,4.25
b_1,1.31,1.58,1.55,1.33,2.77,2.54,2.71,3.16,2.81,3.13,2.5,3.13,2.67,4.03,3.86,3.42
a_1,1.49,1.73,1.48,1.6,1.32,3.37,3.2,2.83,2.88,3.35,3.69,3.47,2.49,4.17,3.35,3.9
h_1,1.65,2.02,1.51,1.48,1.51,1.3,4.17,3.04,3.47,2.98,3.24,3.09,3.44,3.74,3.61,5.2
d_0,1.23,1.53,1.27,2.56,1.66,1.57,2.78,4.31,3.13,2.47,3.48,3.45,3.68,4.38,3.53,3.82
g_1,1.35,1.38,2.1,1.65,1.5,1.36,2.97,2.84,4.71,3.55,3.39,4.79,3.89,3.84,4.25,3.95
c_0,1.59,1.75,1.5,1.65,1.18,1.41,3.3,3.76,3.14,4.45,5.8,3.87,4.42,4.39,3.74,4.59
b_0,1.49,1.75,1.48,1.8,1.41,1.17,3.43,3.39,3.36,3.0,4.62,3.55,6.14,4.64,3.83,4.49
f_0,1.22,1.47,1.74,1.69,1.76,1.49,3.28,3.47,2.85,3.25,3.87,4.77,3.63,4.37,6.24,4.5
a_0,1.72,1.58,1.51,1.63,1.65,1.46,3.23,3.36,2.79,3.04,2.76,3.7,5.15,4.46,3.82,4.06
h_0,1.53,1.89,1.74,1.53,1.48,1.33,2.49,3.16,3.81,3.36,3.29,3.41,3.5,3.86,3.43,5.48
e_0,1.34,1.89,1.66,1.66,1.5,1.88,2.76,3.02,2.75,3.5,3.92,3.08,3.54,4.96,5.14,4.43
g_0,1.37,1.48,2.15,1.48,1.74,1.41,2.77,2.96,2.57,3.32,3.25,4.72,3.3,3.98,4.29,3.71
