,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.1,1.71,2.95,3.35,3.29,2.65,0.91,0.61,0.61,1.01,0.58,0.86,0.44,0.55,1.02,0.46
f_1,2.71,1.11,2.91,3.4,3.06,2.31,0.61,0.59,0.56,1.04,0.65,0.93,0.35,0.52,0.58,0.52
d_1,3.93,3.6,1.09,3.66,3.38,3.18,0.79,1.02,0.61,0.54,0.62,0.59,0.45,0.59,0.57,0.29
c_1,2.93,3.51,5.53,1.1,3.46,3.41,1.13,0.43,1.36,1.05,0.72,0.67,0.48,0.7,0.78,0.54
b_1,4.18,5.0,4.35,2.17,1.12,4.24,1.37,0.91,1.14,1.56,1.5,0.95,0.62,1.06,0.69,0.62
a_1,5.84,6.43,5.54,5.18,2.57,1.13,1.86,1.3,1.09,1.51,1.34,1.16,0.93,2.25,1.13,0.92
h_1,12.36,10.38,10.2,12.83,11.37,9.68,1.62,2.79,2.23,3.27,2.35,2.27,1.96,1.97,1.8,1.64
d_0,8.57,12.42,22.74,13.95,15.59,12.17,4.44,2.02,3.32,4.92,2.74,3.21,2.18,3.1,3.2,2.71
c_0,16.04,15.33,7.74,28.42,14.4,15.64,3.98,4.19,1.91,4.0,2.72,2.83,1.95,2.95,2.65,1.87
g_1,14.74,15.87,13.87,17.28,12.1,17.83,3.03,3.31,2.7,1.62,3.04,2.6,1.45,2.48,2.59,2.65
b_0,14.36,15.8,12.89,20.55,21.2,16.01,4.63,3.63,1.84,4.88,1.98,2.91,2.12,3.27,2.65,2.07
f_0,16.45,24.84,14.81,18.21,14.97,18.65,4.39,3.69,3.35,2.98,3.04,1.88,2.25,2.54,2.75,1.35
h_0,20.95,25.01,21.83,23.76,22.84,21.63,8.74,4.54,4.97,6.51,4.54,4.22,4.34,4.29,4.73,3.04
a_0,23.52,25.91,24.43,29.52,33.12,31.77,6.42,5.97,4.54,9.22,2.79,5.12,4.04,2.29,4.44,2.87
e_0,36.86,40.93,25.58,26.44,20.7,22.1,8.83,6.12,5.87,5.53,5.66,2.66,3.71,4.86,2.2,3.4
g_0,29.95,27.08,24.99,27.9,29.12,23.92,6.01,6.58,5.54,9.22,5.37,5.27,2.96,4.79,5.55,4.89
