,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.49,0.16,0.19,0.12,0.14,,0.22,0.17,0.3,,0.21,0.19,0.23,0.19,0.17,0.19
e_1,0.14,1.5,0.14,0.17,0.12,0.16,0.19,0.18,0.17,0.35,0.21,0.15,0.22,0.21,,0.19
f_1,0.17,0.27,1.51,0.2,0.16,0.14,0.17,0.18,0.2,0.18,0.21,,0.21,0.16,0.16,0.13
c_1,0.22,0.2,0.15,1.57,0.25,0.13,0.23,0.17,,0.18,0.18,0.24,0.21,,,0.26
b_1,0.18,0.19,0.17,0.13,1.61,,0.23,0.19,0.23,0.2,,0.18,0.14,0.16,0.24,0.24
a_1,,0.19,0.19,0.15,,1.75,0.18,0.23,0.16,0.25,0.2,0.25,0.31,,,0.21
h_1,0.38,0.34,0.47,0.33,0.4,0.36,1.62,0.56,0.43,0.49,0.39,0.37,,0.32,0.4,0.63
g_1,0.54,0.36,0.26,0.45,0.39,0.26,0.36,1.71,0.55,0.39,0.49,0.66,0.44,0.35,0.49,
c_0,0.43,0.5,0.51,,0.34,0.41,0.5,0.42,1.35,0.58,0.95,0.55,0.66,0.39,0.41,0.49
d_0,,0.34,0.51,0.73,0.49,0.38,0.56,0.53,0.52,1.41,0.6,0.5,0.57,0.44,0.54,0.52
b_0,0.44,0.54,0.46,0.38,,0.28,0.63,0.45,0.54,0.44,1.45,0.4,0.72,0.89,0.37,0.77
f_0,0.54,0.43,,0.37,0.41,0.43,0.67,0.4,0.59,0.57,0.6,1.45,0.72,0.54,0.77,0.39
h_0,0.53,0.64,0.79,0.58,0.79,0.3,,0.88,0.77,0.75,0.46,0.54,,0.57,0.53,0.87
a_0,0.42,0.42,0.52,,0.38,,0.73,0.52,0.87,0.48,0.42,0.6,0.77,1.55,,0.51
e_0,0.56,,0.51,,0.34,,0.59,0.43,0.65,0.68,0.53,0.54,0.7,,1.61,0.64
g_0,0.91,0.53,0.68,0.46,0.49,0.6,0.65,,0.86,0.65,0.47,1.17,0.56,0.61,0.48,
