,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.01,0.06,0.11,0.09,0.12,0.12,0.22,0.3,0.35,0.28,0.3,0.3,0.34,0.35,,0.38
f_1,0.09,0.01,0.08,0.11,0.08,0.17,0.15,0.16,0.19,0.18,,0.22,0.27,0.16,0.26,0.37
d_1,0.06,0.08,0.01,0.09,0.1,0.16,0.2,0.16,0.18,,0.18,0.2,0.25,0.21,0.4,0.19
c_1,0.06,0.04,0.06,0.01,0.08,0.1,0.11,0.08,,0.08,0.15,0.14,0.18,0.16,0.19,0.17
b_1,0.04,0.04,0.03,0.03,,0.07,0.09,0.08,0.11,0.09,0.14,,0.17,0.12,0.12,0.17
a_1,0.01,0.02,0.01,0.02,0.01,,0.03,0.03,0.03,,0.04,0.04,,0.04,,0.05
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
