,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.38,2.26,1.51,1.46,1.13,1.3,2.62,2.87,3.19,3.19,3.23,2.24,3.45,3.26,3.71,2.49
e_1,1.34,2.46,1.77,1.4,1.69,1.46,2.9,2.84,5.05,3.23,3.24,3.42,4.33,3.46,4.05,3.09
c_1,1.45,1.31,2.53,1.44,2.33,1.49,2.93,2.83,2.68,2.11,2.38,3.24,3.71,2.82,4.03,3.49
d_1,1.6,1.53,1.28,2.6,1.32,1.53,2.85,2.77,2.42,5.04,3.74,3.57,3.89,3.41,3.9,3.54
b_1,1.76,1.21,1.42,1.5,2.8,2.4,3.12,2.96,3.01,3.33,2.59,3.08,4.23,2.43,4.29,2.86
a_1,1.75,1.43,1.52,1.39,1.34,3.37,3.09,2.88,3.47,3.18,3.24,3.16,4.5,2.71,4.09,2.61
h_1,2.05,1.51,1.33,1.65,1.39,1.43,4.25,3.3,3.02,3.21,3.62,2.98,3.83,3.34,5.04,3.13
g_1,1.46,1.44,1.48,2.12,1.46,1.42,2.77,4.56,3.17,3.32,3.81,4.39,4.03,4.1,3.79,4.21
d_0,1.47,1.21,2.55,1.38,1.69,1.23,3.21,3.23,4.25,2.44,3.28,3.63,4.27,3.59,4.36,4.03
c_0,1.6,1.6,1.56,1.57,1.15,1.58,2.89,3.14,3.98,4.47,5.68,3.7,4.84,4.87,5.08,4.48
b_0,1.64,1.54,1.67,1.74,1.13,1.53,3.11,3.07,3.07,3.04,4.74,3.34,4.27,6.05,4.49,3.73
f_0,1.55,1.22,1.68,1.72,1.47,1.33,3.11,3.06,3.43,3.56,4.03,4.83,4.92,4.03,4.1,6.75
h_0,1.87,1.4,1.64,1.71,1.53,1.34,2.42,3.78,3.21,3.16,3.68,3.14,3.51,3.6,4.84,3.43
a_0,1.61,1.54,1.71,1.7,1.54,1.22,3.27,2.98,3.15,2.65,3.31,3.56,4.1,5.24,4.1,4.14
g_0,1.56,1.39,1.41,2.14,1.43,1.39,2.83,2.89,2.66,3.03,3.72,4.76,3.97,3.72,3.76,4.19
e_0,1.79,1.15,1.6,1.62,1.99,1.74,3.21,3.03,3.24,3.02,4.11,2.98,4.54,3.42,4.2,5.93
