,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.24,1.08,0.64,0.49,0.42,0.36,1.0,1.1,0.74,1.07,0.99,0.44,1.17,0.62,0.92,0.86
e_1,0.74,2.26,0.63,0.43,0.49,0.4,1.04,2.33,1.06,1.12,1.34,1.19,1.53,0.48,1.23,1.18
c_1,0.56,0.58,2.39,0.55,1.0,0.43,0.96,1.02,0.89,0.37,0.71,0.93,1.17,0.84,0.74,1.26
d_1,0.66,0.63,0.43,2.55,0.45,0.35,1.23,0.55,0.9,2.4,1.31,1.03,1.54,1.08,0.94,1.39
b_1,0.56,0.54,0.55,0.56,2.59,0.98,0.85,1.22,0.74,0.99,0.42,1.18,1.52,1.08,0.67,1.28
a_1,0.71,0.56,0.56,0.61,0.45,3.02,1.05,1.19,0.86,0.94,1.19,1.1,1.6,1.15,0.58,1.28
h_1,1.0,0.67,0.68,0.64,0.63,0.47,3.09,1.29,1.47,1.46,1.27,1.28,0.93,1.44,1.0,1.94
d_0,0.82,0.61,1.34,0.35,0.65,0.43,1.4,2.65,1.24,0.98,1.24,1.12,1.73,1.37,1.26,1.67
g_1,0.73,0.53,0.68,1.06,0.62,0.51,1.31,1.33,3.48,1.53,1.41,1.98,1.5,1.35,1.05,1.09
c_0,0.9,0.74,0.57,0.75,0.42,0.5,1.33,1.42,1.18,2.86,2.82,1.5,1.73,1.15,1.43,1.54
b_0,0.92,0.74,0.69,0.73,0.44,0.41,1.51,1.53,1.2,1.35,2.97,1.35,1.54,1.24,2.46,1.64
f_0,0.54,0.56,0.84,0.73,0.7,0.66,1.39,1.71,1.27,1.35,1.46,3.09,1.79,2.71,0.94,1.87
h_0,0.94,0.7,0.77,0.7,0.7,0.53,0.8,1.36,1.55,1.51,1.36,1.24,1.18,1.4,0.97,2.38
e_0,0.86,0.32,1.0,0.65,0.74,0.64,1.54,1.33,1.14,1.48,1.22,1.54,1.89,3.23,1.0,1.86
a_0,0.81,0.75,0.84,0.6,0.68,0.29,1.37,1.53,1.37,1.37,1.4,1.45,1.93,1.39,3.22,2.05
g_0,0.62,0.55,0.77,1.05,0.7,0.47,1.39,1.27,0.88,1.34,1.31,2.25,1.55,1.44,0.9,1.14
