,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.05,1.64,1.17,2.18,1.83,1.46,0.72,0.68,0.52,0.67,0.64,0.52,0.46,0.49,0.57,0.44
d_1,2.02,1.05,1.77,1.74,1.79,1.4,0.65,0.44,0.56,0.7,0.51,0.44,0.4,0.47,0.45,0.28
f_1,1.97,1.75,1.05,1.65,1.69,1.43,0.54,0.7,0.49,0.52,0.56,0.47,0.31,0.44,0.4,0.45
c_1,1.48,2.32,2.0,1.05,2.09,1.51,0.69,0.82,0.75,0.35,0.55,0.5,0.41,0.45,0.5,0.36
b_1,2.01,2.1,2.27,1.23,1.05,2.07,0.82,0.82,0.68,0.59,0.54,0.68,0.48,0.52,0.56,0.43
a_1,2.7,2.75,3.06,2.63,1.44,1.06,1.04,0.98,0.86,0.97,0.8,1.17,0.56,1.03,0.7,0.56
h_1,4.38,4.48,4.94,4.64,4.23,4.17,1.28,1.64,1.3,1.38,1.31,1.33,1.27,1.05,1.07,1.12
g_1,5.62,5.8,5.38,5.62,4.98,4.48,1.75,1.27,1.56,1.72,1.52,1.66,0.95,1.35,1.37,1.4
c_0,6.2,3.92,6.05,7.61,7.13,5.35,2.26,1.89,1.39,2.57,1.6,1.98,1.44,1.71,1.46,1.34
d_0,3.86,8.57,5.95,7.35,5.89,4.84,2.39,2.35,1.66,1.38,1.81,1.87,1.42,1.5,1.63,1.55
f_0,5.99,6.08,8.77,6.19,7.13,5.36,2.48,1.79,1.9,2.09,1.41,1.77,1.62,1.62,1.99,1.07
b_0,6.44,6.26,7.21,10.16,8.82,5.0,2.45,2.16,1.24,2.06,1.82,1.44,1.61,2.06,1.67,1.35
h_0,7.64,8.16,9.79,7.8,7.24,6.86,3.4,3.55,2.58,2.64,2.16,2.07,2.11,1.92,1.82,1.94
a_0,9.58,7.29,8.31,9.38,9.68,7.65,3.56,3.21,2.19,2.56,2.45,1.4,2.11,1.5,2.24,2.11
e_0,10.08,7.98,11.56,8.21,7.36,6.41,3.27,2.93,2.59,2.5,1.43,2.56,2.03,2.24,1.47,1.8
g_0,9.17,9.35,9.52,8.55,8.43,8.45,2.78,3.43,2.65,2.69,2.75,2.55,1.65,1.88,2.2,2.3
