,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.17,0.85,0.93,0.91,0.58,0.38,0.4,0.37,0.46,0.36,0.28,0.27,0.3,0.26,0.28
e_1,0.86,1.0,0.84,1.01,0.9,0.77,0.58,0.62,0.4,0.42,0.49,0.45,0.42,0.33,0.36,0.39
d_1,1.17,1.19,1.0,0.88,1.1,0.63,0.48,0.46,0.64,0.34,0.39,0.4,0.38,0.4,0.31,0.27
c_1,1.08,1.0,1.12,1.0,1.28,0.76,0.46,0.32,0.33,0.43,0.34,0.36,0.37,0.34,0.33,0.33
b_1,1.11,1.11,0.92,0.78,1.0,1.29,0.66,0.5,0.51,0.51,0.58,0.44,0.42,0.3,0.33,0.41
a_1,1.7,1.29,1.59,1.32,0.78,1.0,0.67,0.58,0.54,0.76,0.54,0.53,0.44,0.46,0.44,0.36
h_1,2.7,1.73,2.12,2.01,1.55,1.38,1.0,0.8,0.83,1.06,0.8,0.64,0.75,0.67,0.59,0.74
d_0,2.49,1.49,2.17,3.28,2.06,1.66,1.27,1.0,0.98,1.05,0.78,0.91,0.86,0.78,0.75,0.79
c_0,2.72,2.56,1.55,3.18,1.77,1.84,1.19,1.02,1.0,1.1,1.36,0.78,0.94,0.86,0.75,0.71
g_1,2.18,2.42,2.86,2.53,2.03,1.22,0.91,0.97,0.89,1.0,1.02,1.15,0.73,0.66,0.73,0.68
b_0,2.86,2.04,2.48,2.99,1.78,1.79,1.21,1.2,0.76,0.95,1.0,0.82,0.87,1.19,0.71,0.65
f_0,3.81,2.06,2.57,3.0,2.17,1.78,1.6,1.15,1.29,0.87,1.27,1.0,0.99,0.96,1.33,0.75
h_0,3.57,2.53,2.66,2.59,2.4,2.38,1.33,1.1,1.08,1.39,1.16,1.03,0.99,0.78,0.82,1.02
a_0,3.57,2.86,2.51,2.84,3.24,1.73,1.51,1.23,1.24,1.54,0.91,0.99,1.3,1.0,0.81,0.99
e_0,3.78,2.91,3.02,3.09,3.07,2.29,1.78,1.35,1.34,1.27,1.44,0.76,1.22,1.1,1.0,1.02
g_0,3.67,2.71,3.73,3.06,2.4,2.59,1.35,1.25,1.37,1.44,1.53,1.33,0.97,1.1,0.96,1.0
