,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.51,1.14,0.68,0.7,0.61,0.53,0.77,0.76,0.83,0.78,0.52,0.87,0.76,0.75,0.6,0.79
e_1,0.71,1.51,0.7,0.8,0.78,0.53,0.81,0.86,1.41,0.9,1.0,0.92,0.98,0.78,0.61,0.89
d_1,0.85,0.76,1.53,0.65,0.61,0.55,0.82,0.77,0.66,1.38,0.86,0.86,1.01,0.76,0.86,0.78
c_1,0.78,0.73,0.8,1.58,1.11,0.52,0.81,0.81,0.7,0.37,0.86,0.61,0.83,0.72,0.79,0.76
b_1,0.84,0.75,0.81,0.65,1.62,1.08,1.03,0.83,1.0,0.77,0.78,0.54,1.0,0.55,0.75,0.77
a_1,0.97,0.84,0.9,0.76,0.62,1.78,1.01,0.91,0.74,1.01,0.94,0.96,1.12,0.46,0.78,0.9
h_1,1.31,0.9,1.08,1.02,0.82,0.81,1.76,1.28,1.17,0.88,0.94,1.02,0.89,0.91,0.91,1.34
g_1,1.04,0.95,1.33,1.02,0.84,0.76,1.09,1.79,1.03,1.15,1.44,1.01,0.97,1.08,1.01,0.82
d_0,1.02,0.88,0.68,1.74,1.0,0.99,1.13,1.24,1.66,0.83,1.26,0.97,1.17,1.09,0.83,1.14
c_0,1.21,1.07,1.02,0.97,0.79,0.75,1.35,1.1,1.24,1.68,1.09,2.09,1.33,1.32,1.16,1.19
f_0,0.88,0.85,1.19,1.12,1.09,0.89,1.34,1.05,1.18,1.36,1.73,0.99,1.33,0.93,1.82,1.21
b_0,1.16,0.9,1.17,1.3,0.76,0.64,1.23,1.17,1.37,1.0,1.34,1.75,1.44,1.99,1.0,1.28
h_0,1.51,1.08,1.14,1.03,0.81,0.78,1.03,1.64,1.22,1.18,1.12,1.27,1.06,1.1,0.88,1.57
a_0,1.11,0.99,1.4,1.14,1.18,0.59,1.31,1.13,1.15,1.09,1.3,0.94,1.43,1.77,1.18,1.46
e_0,1.29,0.78,1.11,1.06,1.09,0.96,1.52,1.05,1.65,1.2,1.12,1.4,1.69,1.18,1.78,1.03
g_0,1.06,1.0,1.63,1.14,1.06,0.83,1.09,1.11,1.11,1.47,1.73,1.25,1.19,1.17,1.31,1.02
