,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.06,2.09,2.3,2.3,2.18,1.69,0.66,0.71,0.61,0.64,0.62,0.85,0.45,0.56,0.49,0.62
d_1,2.54,1.06,2.35,2.18,2.17,1.8,0.9,0.61,0.75,1.32,0.58,0.64,0.49,0.66,0.41,0.54
e_1,1.63,2.45,1.06,2.5,2.41,1.8,0.94,1.04,0.77,0.85,0.7,0.75,0.54,0.57,0.59,0.75
c_1,2.37,2.98,2.25,1.06,2.63,2.58,0.95,0.92,1.01,0.45,0.58,0.7,0.54,0.6,0.51,0.66
b_1,2.86,2.69,2.84,1.66,1.07,3.07,1.07,1.01,0.88,0.82,1.38,0.72,0.69,0.74,0.63,0.75
a_1,3.79,3.41,3.7,3.17,1.87,1.07,1.35,1.36,0.96,0.97,1.38,0.93,0.73,1.61,0.77,0.67
h_1,6.62,5.22,5.64,5.83,5.24,4.85,1.33,2.1,1.69,1.77,1.67,1.48,1.61,1.45,1.25,1.39
g_1,9.01,7.52,6.25,7.12,6.74,5.5,2.29,1.37,1.87,1.6,1.75,1.9,1.42,1.78,1.77,1.73
c_0,7.44,4.64,6.82,11.06,7.43,7.33,2.93,2.73,1.53,2.59,2.41,2.29,1.6,2.02,1.41,1.92
d_0,7.61,10.69,4.7,9.3,7.74,7.25,3.3,3.74,2.15,1.58,2.16,2.15,1.82,1.9,1.69,2.32
b_0,9.49,7.32,7.87,11.85,12.27,6.24,3.21,2.67,1.45,2.32,1.54,2.15,1.98,2.74,1.93,2.03
f_0,12.27,7.55,7.48,8.83,8.31,9.18,3.39,2.34,2.32,2.44,2.3,1.54,1.96,1.75,1.4,2.42
h_0,10.14,9.99,8.54,11.38,10.1,8.17,5.06,3.3,2.87,2.91,2.5,2.77,3.12,2.22,2.46,2.36
a_0,12.57,9.85,11.18,12.41,11.76,10.14,4.06,3.45,2.95,3.63,1.68,3.09,2.45,1.59,2.28,2.69
g_0,13.04,10.13,10.69,11.79,10.84,9.79,3.55,5.06,3.44,3.3,2.94,3.17,1.92,2.63,3.06,2.46
e_0,14.33,11.18,18.26,10.62,9.56,12.76,4.76,3.77,3.01,2.77,3.28,1.9,2.56,2.68,2.34,1.59
