,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.04,1.48,1.59,1.84,3.42,17.61,28.99,28.51,37.13,42.58,48.58,57.93,77.27,83.36,106.65
d_1,0.94,1.0,1.09,1.27,1.61,2.97,18.82,21.02,36.62,32.31,46.69,46.64,55.8,74.59,85.97,77.74
e_1,0.68,0.91,1.0,1.52,1.76,3.18,20.61,26.31,27.01,42.84,37.37,53.85,59.12,72.52,92.94,120.57
c_1,0.63,0.77,0.66,1.0,1.68,2.37,12.66,18.04,18.98,17.65,26.2,35.44,42.85,53.49,59.2,81.25
b_1,0.53,0.64,0.56,0.59,1.0,2.81,12.37,14.64,17.34,18.56,20.68,30.23,34.21,41.62,52.0,58.29
a_1,0.29,0.34,0.31,0.42,0.37,1.0,6.17,9.1,7.84,9.56,14.67,15.52,20.05,22.32,28.95,29.96
h_1,0.06,0.05,0.05,0.08,0.08,0.15,1.0,1.54,1.29,1.54,1.76,2.38,3.14,3.43,4.28,5.67
g_1,0.03,0.05,0.04,0.06,0.07,0.11,0.65,1.0,1.07,1.14,1.38,2.22,2.01,3.39,3.52,3.92
c_0,0.03,0.03,0.04,0.06,0.06,0.12,0.77,0.93,1.0,1.43,1.95,1.71,2.31,3.09,3.26,3.66
d_0,0.03,0.03,0.02,0.06,0.06,0.1,0.61,0.91,0.65,1.0,1.07,1.61,1.8,2.34,2.85,3.48
b_0,0.02,0.02,0.03,0.04,0.05,0.07,0.55,0.71,0.53,0.9,1.0,1.17,1.51,2.8,2.31,2.55
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.4,0.44,0.57,0.62,0.84,1.0,1.4,1.64,2.5,1.72
h_0,0.02,0.02,0.02,0.02,0.03,0.05,0.31,0.51,0.44,0.55,0.69,0.75,1.0,1.2,1.44,2.04
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.29,0.33,0.35,0.41,0.39,0.66,0.87,1.0,1.24,1.36
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.23,0.27,0.31,0.35,0.44,0.41,0.7,0.81,1.0,1.06
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.25,0.27,0.27,0.4,0.55,0.5,0.78,0.92,1.0
