,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,1.77,2.05,1.73,1.99,1.98,0.47,0.69,0.46,0.36,0.37,0.98,0.2,0.39,0.36,0.31
e_1,1.14,0.43,2.64,2.24,2.3,1.59,0.62,0.97,0.41,0.42,0.4,0.57,0.3,0.38,0.92,0.31
c_1,2.13,1.71,0.42,2.44,1.97,2.36,0.58,0.6,0.24,0.77,0.41,0.35,0.27,0.44,0.44,0.28
d_1,2.07,2.66,1.78,0.42,2.15,1.6,0.53,0.37,1.02,0.38,0.45,0.44,0.33,0.45,0.51,0.21
b_1,2.6,2.3,1.28,2.05,0.39,2.68,0.69,0.65,0.55,0.69,1.34,0.46,0.38,0.39,0.42,0.39
a_1,3.56,3.22,2.85,2.79,1.42,0.32,1.02,0.79,0.53,0.48,0.68,0.48,0.49,1.22,0.46,0.42
h_1,3.53,3.33,3.55,2.95,2.91,2.8,0.34,0.9,0.7,0.62,0.77,0.59,1.19,0.67,0.57,0.53
g_1,4.37,3.65,3.89,3.57,3.67,3.95,0.83,0.3,0.91,0.82,0.71,0.81,0.41,1.15,0.64,0.7
d_0,4.42,1.95,4.01,8.38,3.63,4.63,1.13,1.21,0.4,0.75,0.84,0.7,0.63,0.99,0.69,0.67
c_0,3.97,3.79,10.68,1.95,3.78,3.73,1.14,1.22,1.14,0.42,0.73,0.74,0.7,0.86,0.88,0.57
b_0,3.83,3.6,5.06,2.89,10.42,3.66,1.15,1.01,0.82,0.4,0.37,1.03,0.58,0.73,0.84,0.69
f_0,7.78,3.89,4.64,3.95,3.94,3.72,1.22,0.62,0.77,0.84,0.93,0.34,0.66,0.96,0.75,0.47
h_0,4.49,4.71,4.01,4.0,5.22,5.27,1.99,1.37,0.88,0.89,0.72,0.88,0.97,0.81,0.67,0.55
a_0,4.75,4.44,5.32,3.99,4.93,9.26,1.48,1.11,1.11,0.84,0.49,1.32,0.62,0.33,0.94,0.63
e_0,7.92,10.7,4.55,4.61,4.13,4.76,1.4,0.99,1.02,0.87,0.88,0.44,0.91,1.52,0.31,0.61
g_0,5.1,4.64,5.37,4.75,4.87,7.54,0.98,1.93,0.89,0.97,0.88,0.89,0.5,1.03,0.89,1.17
