,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.26,0.95,0.98,0.92,0.85,0.85,0.95,0.97,0.94,0.98,0.97,0.86,0.93,0.83,1.13
e_1,0.81,1.0,1.27,0.93,1.01,1.02,1.06,1.37,1.08,0.96,1.16,0.99,1.12,1.1,1.14,0.97
c_1,1.05,0.78,1.0,1.13,1.37,0.92,0.91,0.71,1.01,0.81,0.94,0.81,0.99,0.89,0.93,1.05
d_1,1.01,1.07,0.87,1.0,0.97,0.95,1.07,1.04,0.85,1.36,1.05,1.11,1.03,0.99,0.94,0.83
b_1,1.08,0.99,0.75,1.03,1.0,1.41,1.06,1.03,1.12,1.05,0.93,0.95,1.08,0.99,1.05,1.04
a_1,1.15,0.99,1.07,1.07,0.71,1.0,1.12,1.08,1.06,1.06,0.93,1.1,1.06,1.05,1.17,1.03
h_1,1.18,0.94,1.1,0.95,0.95,0.88,1.0,0.86,1.14,0.9,0.9,1.02,0.91,0.86,0.95,1.09
d_0,1.0,0.74,1.43,1.02,0.98,0.92,1.14,1.0,1.08,0.92,1.08,1.09,0.99,0.92,0.96,1.29
g_1,1.01,0.91,0.93,1.17,0.96,0.94,0.87,0.93,1.0,0.85,1.22,0.95,0.88,1.04,1.11,0.96
c_0,1.05,1.04,1.15,0.75,1.0,0.98,1.11,1.07,1.18,1.0,1.0,1.55,1.08,1.14,1.18,1.01
f_0,1.07,0.82,1.05,0.97,1.07,1.07,1.13,0.98,0.82,1.0,1.0,1.02,1.02,1.46,1.01,0.86
b_0,1.07,1.01,1.32,0.89,1.03,0.87,1.05,0.92,1.04,0.65,0.92,1.0,0.98,0.97,1.36,1.03
h_0,1.16,0.93,0.97,0.97,0.94,0.94,1.1,0.97,1.09,0.91,0.9,0.99,1.0,0.96,0.93,1.08
e_0,1.12,0.92,1.08,0.94,1.08,0.94,1.18,1.05,0.98,0.87,0.72,1.01,1.04,1.0,1.07,1.02
a_0,1.18,0.93,1.08,0.99,1.03,0.79,1.08,1.0,0.93,0.82,1.0,0.74,1.07,0.94,1.0,1.04
g_0,0.85,1.01,0.98,1.19,0.97,1.01,0.89,0.8,1.0,1.01,1.15,1.0,0.89,0.96,0.89,1.0
