,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.88,0.09,0.07,0.09,0.15,0.03,0.09,0.06,0.08,0.01,0.07,0.04,0.07,0.04,0.04,0.05
f_1,0.1,0.87,0.1,0.15,0.06,0.03,0.08,0.07,0.06,0.07,0.01,0.07,0.07,0.02,0.05,0.05
d_1,0.07,0.09,0.88,0.06,0.07,0.04,0.08,0.07,0.02,0.16,0.07,0.09,0.07,0.05,0.05,0.06
e_1,0.09,0.09,0.06,0.88,0.08,0.05,0.07,0.06,0.17,0.06,0.07,0.06,0.09,0.01,0.04,0.08
b_1,0.08,0.1,0.07,0.08,0.87,0.11,0.09,0.05,0.09,0.06,0.07,0.01,0.06,0.05,0.04,0.05
a_1,0.12,0.08,0.07,0.07,0.07,0.87,0.07,0.07,0.08,0.07,0.07,0.06,0.07,0.06,0.01,0.06
h_1,0.13,0.23,0.16,0.13,0.09,0.1,0.52,0.14,0.11,0.14,0.12,0.12,0.04,0.06,0.08,0.13
g_1,0.13,0.12,0.24,0.13,0.11,0.07,0.14,0.52,0.12,0.13,0.19,0.11,0.11,0.1,0.09,0.05
d_0,0.31,0.16,0.06,0.16,0.12,0.08,0.1,0.11,0.36,0.1,0.12,0.12,0.1,0.07,0.08,0.11
c_0,0.08,0.17,0.2,0.14,0.1,0.08,0.15,0.13,0.14,0.38,0.14,0.27,0.13,0.1,0.1,0.16
f_0,0.14,0.06,0.2,0.14,0.15,0.11,0.12,0.11,0.12,0.15,0.37,0.14,0.12,0.16,0.09,0.12
b_0,0.14,0.21,0.17,0.16,0.04,0.06,0.12,0.14,0.16,0.15,0.11,0.37,0.14,0.1,0.16,0.12
h_0,0.15,0.21,0.15,0.15,0.13,0.09,0.04,0.18,0.15,0.12,0.11,0.11,0.06,0.07,0.1,0.14
e_0,0.17,0.2,0.15,,0.16,0.08,0.19,0.11,0.11,0.11,0.13,0.14,0.16,0.38,0.09,0.12
a_0,0.2,0.18,0.23,0.14,0.12,,0.15,0.1,0.12,0.09,0.08,0.06,0.11,0.07,0.35,0.14
g_0,0.16,0.12,0.27,0.13,0.13,0.07,0.11,0.05,0.12,0.12,0.16,0.11,0.12,0.06,0.09,0.05
