,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,100.55,32.43,40.55,63.66,65.05,169.72,6150.01,15514.33,11426.86,15655.18,21334.21,23494.32,67536.82,68816.32,42387.12,86860.28
f_1,49.69,108.57,42.88,48.04,66.96,179.72,5112.56,7925.88,10776.53,16847.76,17885.8,12577.16,44924.26,43616.36,66482.55,99032.37
d_1,30.15,41.42,140.55,37.43,42.72,152.87,6166.95,3575.47,8449.95,19652.13,19453.56,21443.24,46901.9,44371.34,79212.15,77111.12
c_1,25.37,29.95,34.04,156.58,100.15,130.54,5125.24,6428.72,8913.95,5142.46,16729.31,18764.57,46686.2,43644.81,66493.66,79565.89
b_1,23.55,22.79,44.96,40.81,187.96,268.25,4081.52,5493.57,9961.71,12410.83,7054.52,21894.47,44422.72,40644.36,51913.84,73380.93
a_1,18.5,19.34,31.42,36.26,23.98,433.13,3880.12,4255.43,7680.36,7262.11,12907.77,13191.82,41936.64,11986.28,50861.39,62366.11
h_1,9.26,14.16,12.92,15.81,17.91,44.67,3520.82,2573.25,3333.66,3503.23,6060.23,6055.86,10544.67,14089.93,21911.03,40557.15
d_0,5.63,9.35,8.88,26.12,22.21,55.57,1423.18,3767.52,2817.32,3114.25,5555.6,6215.38,15757.66,16017.8,22950.98,30570.3
g_1,6.61,7.56,17.0,9.05,16.66,43.6,1585.4,1765.92,5949.51,3802.17,3727.64,7729.44,12832.07,14813.64,19806.91,13262.12
c_0,6.66,8.64,10.91,9.16,10.92,41.37,1571.27,2397.19,2677.51,5914.14,7346.89,5808.73,10987.02,16380.47,15093.14,28117.69
b_0,6.09,7.93,10.9,11.93,7.17,32.33,1311.54,2016.79,2630.71,2844.28,7276.08,5360.03,13711.04,17987.09,21113.21,25002.54
f_0,5.82,3.87,8.82,10.83,15.99,40.23,1276.05,2018.07,2134.55,2824.65,3411.82,8410.81,11598.79,10786.44,26896.78,17534.57
h_0,4.46,7.61,8.01,8.57,11.3,23.97,472.24,1285.3,2004.95,2232.64,2627.18,2979.65,5066.85,7018.02,8697.68,17596.97
a_0,4.41,6.41,7.83,8.27,9.19,16.37,1066.64,1381.38,1282.31,1851.02,2943.61,3523.72,9475.19,16539.94,10355.41,12761.62
e_0,1.99,5.54,7.09,7.8,10.79,20.48,814.91,1263.96,1405.4,2426.82,2329.59,3031.82,10544.0,8185.36,20519.93,15762.77
g_0,3.94,3.74,9.44,7.09,8.81,18.18,604.15,905.39,1128.22,1892.28,2745.17,3584.94,5826.24,8348.75,10604.6,8364.28
