,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.45,18.66,35.09,39.94,31.07,30.72,9.32,9.58,8.33,5.63,6.36,8.75,7.09,5.17,,4.14
f_1,29.13,0.43,38.86,36.9,33.34,37.28,7.23,9.84,7.69,8.06,6.78,,7.07,2.89,6.68,6.2
c_1,39.61,28.49,0.42,37.47,30.86,32.27,16.1,8.99,3.51,9.51,,8.21,6.95,4.42,7.26,5.33
d_1,40.4,37.9,33.52,0.42,54.67,38.03,7.39,6.23,,6.54,9.76,6.73,,4.96,9.1,2.88
b_1,36.21,34.93,23.23,36.43,0.4,42.17,8.72,16.92,6.7,,9.7,5.01,10.28,4.42,8.11,8.61
a_1,31.75,50.54,51.46,39.93,27.05,0.35,12.62,12.21,9.08,12.26,9.85,10.84,,5.91,,5.03
h_1,22.07,20.08,16.73,15.95,19.04,13.22,0.37,4.74,4.92,2.63,3.11,4.0,4.32,,3.05,2.96
g_1,20.02,22.58,19.5,17.27,24.18,20.65,3.92,0.34,4.13,6.44,4.02,3.78,,2.17,4.24,
d_0,8.7,14.2,13.73,,17.57,14.03,4.94,5.42,0.48,4.88,2.5,3.07,2.77,2.12,5.67,2.89
b_0,20.8,15.68,19.66,10.84,,20.07,5.27,4.17,2.65,0.48,1.95,3.39,4.28,2.5,2.38,1.98
c_0,17.85,13.07,,7.82,13.11,18.57,5.58,4.4,3.92,2.89,0.5,3.75,2.57,2.27,4.64,2.43
f_0,24.96,,12.71,20.59,22.52,17.31,4.99,2.63,4.49,3.03,4.4,0.43,3.9,3.61,2.45,1.58
a_0,19.36,36.68,21.29,,23.56,,5.23,,5.12,1.94,3.13,4.72,0.4,2.25,,1.92
h_0,20.86,11.48,13.19,17.99,11.68,12.5,,3.32,2.1,3.02,2.24,3.19,1.95,,1.69,1.63
e_0,,34.83,26.95,15.85,23.87,,3.48,5.37,4.35,3.53,3.09,2.49,,3.21,0.38,3.36
g_0,10.8,26.84,14.43,27.27,9.85,15.6,2.79,,3.46,2.89,3.73,2.31,2.51,1.55,3.24,
