,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,6.02,0.07,0.06,0.09,0.06,0.07,0.3,0.32,0.36,0.68,0.4,0.31,0.39,0.71,,0.38
f_1,0.15,6.03,0.09,0.06,0.08,0.08,0.33,0.24,0.42,0.35,0.39,,0.46,0.6,0.36,0.32
d_1,0.07,0.07,6.2,0.07,0.07,0.06,0.39,0.24,0.82,,0.4,0.36,0.34,0.5,0.31,0.58
c_1,0.08,0.07,0.1,6.36,0.14,0.07,0.33,0.22,,0.45,0.29,0.43,0.33,0.42,0.46,0.51
b_1,0.07,0.08,0.08,0.07,6.86,0.12,0.24,0.36,0.33,0.39,,0.44,0.33,0.74,0.47,0.57
a_1,0.08,0.07,0.07,0.09,0.08,10.51,0.34,0.31,0.28,0.39,0.33,0.38,,0.57,,0.67
h_1,0.25,0.35,0.27,0.29,0.33,0.3,13.1,1.29,1.26,1.66,1.52,1.65,1.16,,1.42,2.97
g_1,0.21,0.23,0.46,0.42,0.25,0.22,1.37,17.96,1.06,1.11,1.41,2.06,1.06,2.34,1.44,
c_0,0.42,0.39,0.39,,0.29,0.36,1.3,1.56,12.38,1.33,3.87,2.48,1.75,3.4,1.7,3.03
d_0,0.38,0.53,,0.76,0.42,0.47,1.49,1.4,1.39,12.94,1.53,1.8,1.45,2.54,1.56,2.84
b_0,0.33,0.47,0.33,0.31,,0.29,1.65,1.16,2.54,1.13,13.61,1.51,4.84,4.04,1.75,2.85
f_0,0.41,,0.33,0.41,0.44,0.4,1.5,1.13,2.14,2.16,2.11,15.25,1.2,2.08,,3.1
a_0,0.33,0.4,0.35,0.43,0.25,,1.49,1.33,1.75,2.22,1.61,1.53,21.07,3.4,1.86,
h_0,0.56,0.85,0.54,0.44,0.51,0.51,,3.56,2.91,3.56,2.87,1.96,2.62,,,7.09
e_0,,0.34,0.39,0.23,0.54,,0.9,1.75,2.34,2.9,2.45,,1.86,,21.94,2.99
g_0,0.48,0.51,0.87,0.58,0.57,0.49,1.9,,2.93,2.38,2.37,5.16,,4.54,4.58,
