,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.24,1.06,0.58,0.59,0.46,0.35,0.93,0.98,1.02,0.87,1.01,0.55,1.45,0.88,1.12,0.62
e_1,0.59,2.3,0.45,0.63,0.59,0.47,0.96,0.84,2.26,1.12,1.2,1.14,1.2,0.86,1.26,0.5
d_1,0.67,0.47,2.42,0.46,0.47,0.43,1.2,1.02,0.57,2.22,1.52,1.2,1.65,1.03,1.26,1.03
c_1,0.65,0.58,0.47,2.46,0.96,0.41,1.07,0.82,1.05,0.59,0.75,1.2,1.36,1.09,1.09,0.83
b_1,0.6,0.57,0.49,0.59,2.63,0.91,1.06,0.81,1.12,0.97,0.44,0.9,1.7,0.66,1.4,0.9
a_1,0.71,0.52,0.66,0.52,0.53,3.04,1.03,1.02,1.13,1.23,1.2,1.1,1.85,0.56,1.2,0.86
h_1,1.05,0.67,0.77,0.68,0.52,0.39,3.05,1.63,1.46,1.46,1.41,1.11,1.0,1.17,2.13,1.12
g_1,0.69,0.65,1.09,0.68,0.57,0.52,1.26,3.29,1.25,1.39,1.32,1.91,1.66,1.26,1.06,1.1
d_0,0.78,0.66,0.41,1.36,0.57,0.52,1.26,0.9,2.72,0.99,1.57,1.14,1.59,1.13,1.49,1.52
c_0,0.87,0.61,0.9,0.45,0.38,0.48,1.46,1.36,1.33,2.78,2.84,1.24,2.09,1.47,1.98,1.55
b_0,0.84,0.67,0.82,0.72,0.33,0.45,1.54,1.44,1.48,1.52,2.94,1.26,1.82,2.57,1.77,1.34
f_0,0.48,0.51,0.9,0.75,0.63,0.57,1.38,1.09,1.56,1.92,1.58,3.08,1.79,1.32,1.99,2.67
h_0,1.1,0.68,0.77,0.69,0.62,0.47,0.76,1.52,1.29,1.24,1.45,1.25,1.32,1.23,2.23,1.08
a_0,1.0,0.57,0.8,0.67,0.59,0.28,1.52,1.19,1.33,1.27,1.48,1.5,2.1,3.16,1.79,1.59
g_0,0.63,0.57,1.19,0.68,0.58,0.49,1.03,0.82,1.36,1.38,1.68,2.37,1.81,1.26,1.36,1.39
e_0,1.01,0.52,0.66,0.85,0.5,0.47,1.46,1.19,1.5,1.39,1.74,1.28,2.45,1.68,1.94,3.35
