,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,99.17,90.18,55.55,106.31,92.78,389.12,7235.78,14094.94,17698.52,24506.23,18243.63,29005.62,97459.69,57721.82,101068.24,203344.89
e_1,45.06,109.98,55.66,118.39,93.47,453.64,8230.35,14677.92,16380.14,42070.71,34517.09,30925.54,101116.54,77957.53,109586.86,216031.89
d_1,50.52,50.19,114.0,83.44,112.63,444.46,7656.38,11462.72,30885.86,15534.47,28314.65,29649.84,96635.89,97750.19,95582.67,184795.79
c_1,40.52,40.54,47.97,176.16,144.5,359.44,6060.84,11317.43,8700.17,17239.06,20059.84,19303.13,75878.97,67499.67,77114.15,153647.43
b_1,46.26,41.24,49.93,59.75,186.44,556.39,6110.71,10647.35,14636.0,20358.61,23011.54,15324.28,88998.51,68876.92,71429.59,149423.85
a_1,28.96,22.59,30.42,51.97,44.76,619.84,4595.06,6417.56,11078.21,12390.84,12349.29,15360.63,53037.92,56559.81,44353.59,101679.21
h_1,16.43,13.35,15.01,27.01,27.96,106.86,3174.84,4013.58,4288.9,5733.03,7476.82,6408.57,20336.36,19407.44,28937.92,74405.24
g_1,9.12,10.32,17.44,20.35,22.27,98.61,1658.23,5035.97,3451.92,4745.47,8563.22,6206.5,19878.0,18544.31,22285.05,33725.47
c_0,11.17,13.09,10.22,18.06,16.68,85.39,1671.04,3101.53,5263.41,6197.63,6384.25,10415.93,23282.02,21101.53,25565.79,43768.81
d_0,9.15,8.84,8.5,31.67,18.82,69.35,1535.32,2699.38,2236.3,6498.41,4748.46,4901.33,19050.05,18919.42,19384.78,39925.45
f_0,6.98,7.45,11.96,21.39,19.13,79.43,1366.99,2244.12,3593.23,4792.27,7242.07,5496.88,21617.95,31902.15,21104.35,33659.61
b_0,8.94,9.98,9.77,21.85,15.44,69.51,1599.47,2696.88,2698.75,4925.45,5155.83,7096.61,21352.19,17853.46,36751.77,39779.92
h_0,7.43,7.66,7.53,14.79,10.17,50.36,785.91,2181.84,2414.37,3101.06,3276.12,3389.75,10091.92,9126.23,13508.08,29564.75
e_0,8.26,5.28,7.13,12.26,12.83,56.56,1146.33,1696.75,2222.32,2575.91,2370.68,3546.57,15732.42,18454.55,14842.58,26745.74
a_0,5.98,5.93,7.4,12.47,12.49,35.85,990.74,1746.06,2448.43,2760.93,3317.54,2828.62,13248.1,11435.36,19873.26,29552.02
g_0,4.12,5.19,8.12,10.53,9.32,42.5,612.36,1256.88,1957.12,2184.46,3842.77,3087.15,10952.28,10015.43,10869.14,15521.26
