,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,96.87,45.08,62.95,47.21,55.99,174.8,6941.54,9405.29,13671.89,12866.01,29859.32,15540.59,59563.31,70615.72,87711.68,111346.52
c_1,27.49,121.32,37.47,83.62,61.26,168.21,5364.91,9858.97,3729.93,11322.54,15645.76,23987.42,45327.02,73907.39,81119.95,119857.79
e_1,27.34,41.84,128.49,48.97,41.67,153.05,7466.72,16143.03,12272.52,10485.4,26063.74,26529.52,48252.09,71282.57,34128.58,113984.66
b_1,29.68,29.82,35.79,151.67,50.35,240.16,6327.25,8262.18,10611.27,11483.37,9673.03,27973.54,47321.19,55397.72,92804.14,92378.47
d_1,25.26,20.36,40.63,45.04,162.26,152.61,5472.9,5687.73,18447.46,8585.34,25217.58,34757.68,62978.64,68051.15,85528.59,86598.19
a_1,18.98,22.18,22.62,24.61,41.12,428.69,4489.97,5161.38,6817.14,6259.18,15713.28,20034.64,24191.84,38754.96,59786.94,74208.82
h_1,10.18,12.8,11.37,11.56,17.21,43.71,3939.8,2852.36,3403.33,4140.29,7428.03,8306.54,15392.45,16388.95,20295.01,37602.46
d_0,8.24,17.76,8.86,11.61,7.6,42.47,1663.2,4281.53,2714.5,2663.13,4818.69,7749.76,13418.42,18947.9,26961.91,28373.93
c_0,8.59,8.32,10.01,10.78,10.99,49.3,1871.51,2646.01,5202.49,2836.79,10112.74,8096.87,18115.33,20330.54,23312.02,28540.59
g_1,6.57,10.07,9.09,10.52,19.52,38.94,1155.33,2351.35,2984.55,6163.06,5782.66,9317.09,13950.17,17364.76,20165.44,17457.46
b_0,5.99,9.71,7.78,6.9,11.35,29.95,1217.61,2615.19,2202.99,2403.36,8738.11,6347.87,20333.17,15372.74,19272.24,29567.08
f_0,3.54,9.58,7.16,9.1,9.47,31.09,1358.05,2093.03,2358.83,2004.91,5284.53,10493.95,9319.42,13057.42,26637.84,18351.19
a_0,5.62,5.24,6.75,7.28,7.71,12.29,1005.82,1608.44,1647.33,1561.83,2905.18,5090.45,17579.98,12998.45,15781.32,14684.21
h_0,5.82,6.21,5.04,7.54,6.94,25.58,429.25,1688.43,1517.45,1701.2,3615.56,4539.75,7819.0,6607.79,13693.93,16851.11
e_0,4.36,5.24,2.83,6.71,8.14,24.52,1118.55,1159.18,1570.41,1558.97,2804.26,3804.34,5878.36,9636.69,24781.46,17886.76
g_0,3.46,4.61,4.72,6.33,9.77,21.72,850.43,1342.65,1486.27,796.88,2684.19,6038.42,6978.67,9475.98,12912.27,9579.63
