,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.57,0.68,0.5,0.75,0.59,0.53,1.02,1.62,0.9,0.85,1.14,0.97,1.14,1.13,0.96,0.5
f_1,1.1,2.63,0.62,0.54,0.58,0.57,0.83,0.82,0.8,0.67,0.93,0.36,0.8,0.9,0.72,0.51
d_1,0.58,0.64,3.09,0.49,0.48,0.58,0.92,0.34,1.84,1.11,1.06,1.22,1.09,0.91,1.13,1.06
c_1,0.58,0.63,0.63,3.28,1.04,0.47,0.87,0.9,0.26,0.74,0.63,1.01,0.76,1.05,0.95,1.06
b_1,0.55,0.72,0.62,0.54,3.68,1.17,0.83,0.93,0.96,0.82,0.36,0.71,0.94,0.63,0.88,1.01
a_1,0.55,0.68,0.65,0.7,0.57,5.02,0.93,0.92,0.78,0.97,0.82,0.84,0.99,0.38,1.03,1.16
h_1,0.66,1.04,0.72,0.73,0.72,0.73,2.82,1.11,1.0,1.52,1.11,1.15,0.75,0.89,1.63,1.16
d_0,0.79,0.69,0.44,1.46,0.79,0.66,1.03,2.04,0.87,1.02,1.14,1.21,1.24,1.0,1.17,1.12
c_0,0.79,0.81,0.84,0.47,0.57,0.81,1.25,1.17,2.31,1.06,2.35,1.47,1.39,1.47,1.29,1.1
g_1,0.73,0.54,1.21,0.82,0.57,0.54,0.99,1.01,1.2,4.22,1.17,2.07,1.04,1.07,0.49,1.34
b_0,0.73,0.79,1.0,0.79,0.46,0.56,1.15,0.98,1.05,1.17,2.76,1.28,1.37,2.44,1.4,1.26
f_0,0.49,0.38,0.94,0.92,1.0,0.79,1.04,1.13,1.2,1.33,1.27,2.9,1.37,1.14,1.29,3.12
h_0,0.67,1.08,0.84,0.84,0.63,0.79,0.51,1.1,1.07,1.49,1.4,0.87,0.64,0.98,1.6,1.23
a_0,0.76,0.75,0.96,0.81,0.88,0.36,1.24,1.25,1.09,1.1,1.24,1.19,1.29,3.73,1.04,1.11
g_0,0.46,0.58,1.32,0.85,0.88,0.69,1.03,0.91,1.16,0.61,1.25,2.06,1.27,1.27,0.86,1.67
e_0,0.33,0.93,0.72,0.94,0.85,0.91,1.1,1.18,0.98,0.96,0.97,1.38,1.4,0.96,1.14,4.03
