,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,13.72,0.63,0.45,0.75,0.54,0.5,0.98,2.0,0.91,0.82,1.14,0.97,1.18,1.13,0.97,0.54
f_1,1.23,14.24,0.56,0.49,0.53,0.54,0.82,0.8,0.76,0.67,0.92,0.4,0.77,0.89,0.73,0.5
d_1,0.51,0.56,19.92,0.42,0.44,0.57,0.93,0.34,2.32,1.15,1.07,1.22,1.12,0.91,1.14,1.06
c_1,0.5,0.55,0.56,19.56,1.22,0.44,0.85,0.85,0.27,0.77,0.56,0.95,0.74,1.0,0.92,1.07
b_1,0.48,0.64,0.56,0.5,20.99,1.38,0.79,0.89,0.92,0.76,0.39,0.73,0.93,0.61,0.84,1.0
a_1,0.48,0.63,0.58,0.66,0.52,28.81,0.97,0.88,0.74,0.95,0.81,0.84,0.93,0.41,1.07,1.12
h_1,0.66,1.12,0.71,0.74,0.72,0.71,4.49,1.12,0.96,1.69,1.21,1.23,0.86,0.95,1.74,1.22
d_0,0.71,0.67,0.43,2.1,0.81,0.67,1.06,2.56,0.77,0.99,1.13,1.27,1.22,1.03,1.21,1.18
c_0,0.78,0.79,0.82,0.47,0.5,0.81,1.36,1.15,2.99,1.07,3.56,1.6,1.44,1.53,1.36,1.12
g_1,0.71,0.48,1.46,0.76,0.55,0.52,1.11,1.03,1.38,7.43,1.28,2.62,1.1,1.13,0.53,1.39
b_0,0.65,0.88,1.09,0.79,0.42,0.54,1.21,0.98,1.05,1.3,3.74,1.3,1.42,3.1,1.37,1.37
f_0,0.38,0.36,0.99,0.92,1.07,0.9,1.18,1.12,1.37,1.37,1.28,3.79,1.47,1.29,1.32,4.02
h_0,0.59,1.28,0.85,0.8,0.61,0.72,0.61,1.09,1.14,1.54,1.53,0.89,0.68,0.98,1.74,1.26
a_0,0.78,0.66,0.94,0.82,0.92,0.36,1.29,1.24,1.11,1.09,1.34,1.15,1.42,4.74,1.0,1.05
g_0,0.36,0.51,1.85,0.76,0.94,0.73,0.94,0.88,1.15,0.66,1.32,2.54,1.25,1.17,0.9,1.87
e_0,0.29,0.94,0.65,0.91,0.95,1.1,1.17,1.29,1.08,1.05,1.07,1.46,1.43,1.16,1.12,5.18
