,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,13.02,0.86,0.66,0.46,0.62,0.7,0.95,0.51,2.59,0.97,1.35,1.11,0.94,1.19,1.12,0.95
f_1,0.58,10.7,1.84,0.68,0.53,0.62,0.94,1.1,0.83,0.86,0.89,0.69,0.88,0.86,0.58,0.95
e_1,0.5,0.7,11.66,1.01,0.72,0.65,0.97,2.97,0.87,0.91,0.89,0.87,1.05,1.04,0.73,0.98
c_1,0.77,0.59,0.53,12.48,1.87,0.66,0.86,0.81,0.56,0.83,0.6,0.92,0.93,0.88,1.02,0.86
b_1,0.72,0.69,0.53,0.75,12.46,1.89,0.96,0.96,0.71,0.85,0.68,0.96,0.95,0.7,1.07,0.99
a_1,0.83,0.82,0.73,0.78,0.52,17.27,1.0,0.73,0.79,0.96,1.05,0.87,1.16,0.62,0.9,0.97
h_1,0.83,1.33,0.77,0.73,0.69,0.76,3.02,0.74,0.95,1.3,1.03,1.15,0.73,0.84,1.03,1.37
d_0,0.5,0.65,0.63,2.53,1.06,0.86,1.05,1.86,0.62,0.97,0.99,0.96,1.05,1.06,1.0,1.11
c_0,0.95,0.88,0.74,0.63,0.5,0.61,1.18,1.01,2.19,1.21,3.15,1.27,1.18,1.86,1.13,1.16
g_1,1.87,0.63,0.55,0.73,0.77,0.63,0.9,0.67,1.06,4.01,1.22,2.18,1.11,0.84,1.3,0.8
b_0,1.12,0.92,0.66,0.81,0.57,0.52,1.27,0.93,1.19,1.27,2.82,1.14,1.52,3.0,1.26,1.15
f_0,1.23,0.61,0.58,0.87,0.94,0.69,1.0,0.74,1.38,1.23,1.23,2.81,1.26,1.11,4.11,1.2
h_0,0.99,1.14,0.64,0.75,0.73,0.7,0.73,0.91,1.02,1.8,1.14,1.13,0.92,1.18,1.15,1.63
a_0,0.88,0.9,0.86,0.99,0.82,0.37,1.34,0.95,1.14,1.42,1.42,1.1,1.36,3.26,1.1,1.23
e_0,0.91,0.87,0.62,0.81,0.97,0.74,0.93,0.93,1.14,1.14,1.1,1.33,1.39,1.21,3.13,1.65
g_0,1.99,0.6,0.55,0.67,0.84,0.78,0.92,0.61,1.26,0.85,1.05,1.84,0.98,1.1,1.36,0.84
