,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.78,0.87,0.67,1.01,0.76,0.7,0.97,1.55,0.98,0.85,1.0,0.98,0.87,0.95,0.77,0.95
f_1,1.27,1.78,0.72,0.82,0.69,0.77,0.85,0.97,0.92,0.92,0.94,0.68,0.94,0.88,0.68,0.88
d_1,0.74,0.87,1.98,0.62,0.8,0.84,0.98,0.63,1.09,1.68,1.12,1.06,1.08,1.13,1.12,1.03
c_1,0.74,0.77,0.81,1.94,1.32,0.7,0.94,0.89,0.9,0.64,0.76,0.95,1.05,0.91,1.07,0.93
b_1,0.79,0.75,0.86,0.89,2.14,1.41,0.87,0.86,0.83,0.87,0.73,0.94,0.89,0.72,1.0,1.0
a_1,0.74,0.87,1.0,0.76,0.77,2.87,1.05,1.01,0.96,1.01,1.09,1.05,1.05,0.81,0.95,1.02
h_1,0.89,1.19,0.95,0.82,0.73,0.76,1.78,0.94,1.15,0.84,1.07,0.98,0.95,1.2,1.02,1.29
d_0,0.92,0.92,0.66,1.4,0.85,0.71,1.06,1.39,0.94,0.69,1.01,1.03,1.06,0.84,0.98,1.0
g_1,0.76,0.83,1.3,0.82,0.85,0.75,1.09,0.85,2.03,1.04,0.94,1.5,0.99,1.17,1.21,0.96
c_0,0.88,1.03,1.02,0.67,0.61,0.74,1.14,0.97,0.98,1.61,1.81,1.16,1.11,1.31,1.19,1.07
b_0,0.94,0.96,0.97,0.95,0.62,0.67,1.12,1.07,1.06,0.97,1.58,1.06,1.16,2.15,1.11,1.12
f_0,0.75,0.8,1.06,0.89,0.91,0.78,1.24,1.05,1.05,1.0,1.22,1.71,1.17,1.22,2.04,1.24
h_0,0.73,1.08,1.0,0.86,0.81,0.78,0.87,0.86,1.29,1.12,1.14,1.17,0.85,1.07,1.11,1.29
a_0,0.77,0.98,0.99,0.89,0.78,0.74,1.21,1.02,1.19,1.12,1.11,1.14,1.28,2.07,1.28,1.12
e_0,0.7,1.03,0.95,0.93,0.91,0.77,1.21,0.97,0.98,0.96,1.13,1.08,1.34,1.19,1.95,1.18
g_0,0.76,0.75,1.23,0.88,0.9,0.83,1.17,0.82,0.85,0.99,1.16,1.6,1.17,1.01,1.25,1.04
