,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.47,0.45,0.52,0.41,0.49,0.36,0.5,0.85,0.5,0.55,0.42,0.54,0.63,0.51,0.23,0.53
f_1,0.78,1.48,0.49,0.41,0.4,0.34,0.44,0.51,0.47,0.41,0.4,0.19,0.49,0.53,0.38,0.5
c_1,0.49,0.46,1.53,0.57,0.71,0.38,0.56,0.43,0.19,0.34,0.39,0.45,0.5,0.37,0.58,0.55
d_1,0.51,0.53,0.3,1.56,0.43,0.42,0.56,0.35,0.82,0.7,0.48,0.56,0.6,0.46,0.49,0.54
b_1,0.41,0.56,0.45,0.5,1.6,0.67,0.58,0.71,0.53,0.29,0.36,0.57,0.59,0.43,0.43,0.49
a_1,0.44,0.59,0.53,0.48,0.36,1.75,0.62,0.78,0.8,0.65,0.5,0.54,0.78,0.25,0.57,0.5
h_1,0.74,1.08,0.79,0.75,0.56,0.57,1.68,0.69,0.76,0.72,0.85,0.8,0.35,0.52,0.77,0.89
d_0,0.76,0.81,1.39,0.38,0.57,0.45,0.92,1.5,0.8,0.89,0.79,0.68,0.95,0.72,0.81,0.99
c_0,0.84,1.04,0.58,0.76,0.7,0.52,1.0,0.93,1.54,1.2,0.73,0.91,0.97,0.76,0.72,0.74
b_0,0.99,0.95,0.91,0.61,0.39,0.49,1.0,1.02,0.99,1.61,0.76,0.74,0.94,1.28,0.64,1.03
g_1,0.72,0.89,0.84,0.96,0.67,0.57,0.95,0.83,0.99,0.93,1.88,1.04,0.82,0.8,0.7,0.67
f_0,0.7,0.75,0.91,0.88,0.63,0.7,0.95,1.19,0.98,1.05,0.95,1.7,1.2,0.78,1.3,0.93
h_0,0.76,1.07,0.96,0.82,0.55,0.65,0.75,0.88,1.04,0.88,0.98,0.82,0.69,0.81,0.73,1.1
a_0,0.79,0.77,0.98,0.85,0.7,0.37,1.18,1.19,0.91,0.87,1.04,1.08,0.93,1.7,0.88,1.01
e_0,0.54,1.11,0.75,0.98,0.8,0.63,0.99,0.8,1.09,1.06,1.09,0.86,1.31,0.84,1.69,1.0
g_0,0.64,0.79,0.9,1.17,0.86,0.58,0.86,0.94,1.15,0.77,,1.21,0.96,0.76,0.8,0.61
