,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.45,1.3,1.66,1.21,1.09,0.49,0.65,0.52,0.45,0.52,0.7,0.37,0.44,0.38,0.46
e_1,0.92,0.66,1.48,1.56,1.63,1.33,0.59,0.7,0.58,0.52,0.56,0.63,0.45,0.63,0.92,0.36
d_1,1.61,1.66,0.65,1.54,1.31,1.19,0.67,0.45,0.96,0.53,0.52,0.44,0.37,0.42,0.47,0.28
c_1,1.41,1.17,1.78,0.65,1.83,1.24,0.69,0.59,0.35,0.7,0.44,0.51,0.39,0.45,0.41,0.42
b_1,1.93,1.6,1.6,0.86,0.62,1.94,0.75,0.81,0.61,0.75,0.8,0.54,0.49,0.53,0.5,0.54
a_1,2.23,1.91,1.71,1.83,1.0,0.57,1.1,0.94,0.74,0.78,0.95,0.6,0.58,1.19,0.63,0.6
h_1,2.22,2.24,2.1,2.06,2.05,1.83,0.58,1.05,0.86,0.72,0.72,0.73,0.86,0.74,0.65,0.74
g_1,2.37,2.42,2.58,2.59,2.02,1.98,0.86,0.56,0.79,0.76,0.8,1.07,0.58,0.7,0.88,0.58
d_0,2.28,1.55,2.85,2.65,2.68,2.11,1.05,1.29,0.62,0.85,0.79,0.87,0.75,0.84,0.83,0.79
c_0,2.89,2.85,1.42,4.52,2.3,2.08,1.5,1.08,1.2,0.6,1.01,0.8,0.78,0.95,0.94,0.76
b_0,2.48,2.28,2.24,3.82,3.76,2.04,1.23,1.08,1.05,0.57,0.58,0.98,0.81,0.98,0.87,0.68
f_0,4.1,2.31,2.35,2.57,2.56,3.14,1.28,0.74,1.04,0.93,0.92,0.57,0.69,0.74,1.18,0.56
h_0,3.19,2.66,2.71,2.84,2.48,2.45,1.4,1.17,1.09,0.85,0.91,0.95,1.13,0.84,0.81,0.86
a_0,3.26,2.6,2.93,3.85,2.52,3.01,1.22,1.38,1.28,1.04,0.59,0.97,0.85,0.58,0.83,0.71
e_0,5.48,3.26,2.75,3.13,2.47,3.11,1.39,0.95,1.14,0.89,1.07,0.53,0.79,0.94,0.57,0.78
g_0,2.85,3.38,3.29,3.1,2.83,3.02,1.02,1.87,1.13,1.05,1.06,1.22,0.68,1.02,1.01,1.31
