,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,101.88,43.9,62.55,90.78,97.96,322.87,9220.95,11988.18,28087.51,19664.78,33673.5,53914.4,96695.51,124388.78,98242.13,188459.26
f_1,70.99,102.78,60.32,81.19,89.59,244.64,6427.74,12834.44,14471.91,19574.87,32835.09,29076.37,70421.2,117675.76,123126.69,195642.38
d_1,43.42,50.56,134.04,52.86,84.63,280.96,8716.05,11935.61,10204.46,28829.2,31917.92,38752.95,80677.95,102649.26,116700.75,160056.43
c_1,36.45,37.31,62.07,151.4,136.36,258.65,6033.7,10508.18,12089.68,9920.26,20488.81,34443.77,70235.95,81505.23,115856.69,175881.23
b_1,35.83,39.39,52.16,55.9,185.88,398.89,6970.4,11755.02,12469.56,17020.8,11666.0,33281.62,67416.76,80958.95,111931.33,134572.69
a_1,23.79,28.77,37.88,39.34,43.9,480.95,5237.03,7774.93,8921.02,12568.86,19483.47,31556.07,43341.03,47206.47,77193.95,102257.58
h_1,9.98,16.07,16.68,21.01,21.58,65.48,3499.34,3958.19,3424.67,4881.21,7365.67,9731.81,15537.04,22616.77,31522.48,60273.22
g_1,9.59,8.69,20.12,15.71,19.74,69.16,1492.7,5154.12,2812.18,4390.31,7036.5,13302.53,15204.1,21740.8,26512.45,31435.83
d_0,7.62,10.27,10.44,26.74,19.25,58.15,1765.38,2367.52,4959.06,3650.22,6497.01,10235.99,17352.82,21544.39,32382.98,43941.02
c_0,10.15,9.75,11.8,13.89,14.17,52.29,1949.67,2645.22,3508.47,5848.13,11223.9,11344.18,15082.99,22048.67,28952.82,39722.67
b_0,7.7,8.98,11.09,15.65,12.94,35.59,1400.04,2179.81,2720.53,2751.77,8337.0,7477.22,16519.11,33784.71,25622.9,37160.62
f_0,6.01,4.71,10.6,14.04,15.29,45.16,1423.25,1817.17,2182.87,2765.56,5587.38,10751.87,12053.43,15464.12,36631.71,26810.02
h_0,5.46,8.58,8.42,9.61,11.6,42.71,852.07,2067.27,2147.09,2680.99,3426.91,5819.06,8242.98,13004.94,16002.26,31084.34
a_0,5.03,5.82,7.95,10.98,9.54,18.52,1095.12,1406.34,1927.89,2425.5,2625.04,3834.91,9988.37,22415.4,13858.39,21212.4
e_0,3.37,4.29,8.54,8.67,11.76,25.63,1253.7,1907.12,1531.49,2179.96,3041.06,4143.53,9345.59,13378.98,25658.82,20317.68
g_0,4.33,4.82,9.73,6.23,10.48,26.84,749.71,1180.32,1372.55,1919.02,2767.47,5637.49,7412.39,10666.0,12401.64,15353.86
