,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.41,0.58,0.91,1.07,0.94,0.82,0.53,0.46,0.37,0.51,0.45,0.46,0.38,0.81,0.43,0.45
f_1,0.98,0.41,0.78,0.79,0.87,0.89,0.36,0.5,0.41,0.38,0.49,0.43,0.3,0.36,0.4,0.35
d_1,1.02,0.95,0.4,0.89,0.91,0.76,0.48,0.33,0.4,0.66,0.41,0.37,0.31,0.36,0.23,0.31
c_1,0.67,0.98,0.97,0.39,1.08,0.9,0.47,0.55,0.51,0.24,0.33,0.36,0.32,0.32,0.33,0.39
b_1,0.86,1.03,0.92,0.54,0.35,1.0,0.55,0.64,0.46,0.4,0.41,0.57,0.37,0.41,0.34,0.45
a_1,1.12,0.93,0.9,0.87,0.54,0.32,0.54,0.44,0.41,0.37,0.43,0.48,0.32,0.4,0.38,0.66
h_1,0.76,0.92,0.79,0.77,0.66,0.67,0.25,0.46,0.36,0.39,0.34,0.36,0.4,0.35,0.3,0.32
g_1,0.77,0.81,0.89,0.9,0.73,0.73,0.32,0.23,0.35,0.39,0.44,0.35,0.24,0.33,0.38,0.39
c_0,0.85,0.77,0.51,1.42,0.8,0.76,0.43,0.42,0.26,0.48,0.39,0.41,0.32,0.35,0.3,0.49
d_0,0.48,0.84,1.08,0.98,0.85,0.88,0.4,0.46,0.34,0.26,0.34,0.37,0.3,0.41,0.35,0.38
f_0,0.65,1.17,0.77,0.91,0.79,0.75,0.45,0.29,0.32,0.35,0.23,0.36,0.31,0.41,0.21,0.33
b_0,0.68,0.75,0.76,1.05,1.27,0.79,0.41,0.39,0.23,0.4,0.34,0.23,0.31,0.43,0.34,0.43
h_0,0.74,0.79,0.7,0.74,0.82,0.65,0.56,0.51,0.37,0.37,0.36,0.34,0.37,0.31,0.31,0.33
e_0,0.97,0.98,0.78,0.86,0.65,0.8,0.35,0.46,0.29,0.35,0.2,0.29,0.35,0.2,0.22,0.33
g_0,0.69,0.81,0.85,0.81,0.76,0.71,0.38,0.55,0.34,0.34,0.38,0.3,0.23,0.39,0.34,0.32
a_0,0.71,0.85,0.87,0.75,0.77,1.33,0.45,0.38,0.28,0.39,0.38,0.19,0.3,0.39,0.31,0.19
