,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,10409.07,3311.76,3886.16,6072.19,7151.43,32079.02,3299818.22,7724096.76,18401645.87,12950446.2,33109797.2,35024425.74,101576596.97,208388002.59,164055463.68,156595213.43
f_1,4927.16,11861.54,3681.03,4795.99,5540.4,30574.91,2973164.16,7387954.14,11194244.8,16102670.86,34292316.22,16578000.07,86681128.78,203741176.32,150161215.4,167618134.55
d_1,2420.88,3325.38,18169.23,3533.91,7455.17,34290.65,3133707.02,8932941.47,5781360.01,31128503.3,39689542.85,40192815.39,120529317.14,248634710.01,184249513.95,214366629.43
c_1,2593.39,2879.53,4436.74,21329.21,12657.05,35316.3,2841780.41,7563869.17,9571584.12,7944543.1,21451354.88,30376088.44,105918474.25,243384909.7,195245321.48,195748336.68
b_1,2514.43,3041.91,4326.73,5108.13,33962.1,65619.92,2444661.44,6317740.59,10417187.38,17137517.27,18552220.96,35838792.87,114402962.3,246530103.87,149140105.85,238668913.68
a_1,2581.19,3242.46,3888.62,5695.53,7619.97,248454.51,3369326.92,9170368.38,9989762.72,11608199.03,36097600.79,35429152.11,112054686.34,236053970.36,103037846.91,220383974.94
h_1,2949.49,4744.79,5523.85,6180.85,7889.09,35160.52,8812990.35,13058056.59,10583830.65,18569614.56,42899902.77,52201583.51,86170635.17,408942510.71,237211857.75,300571078.28
g_1,3010.73,3343.59,8224.58,6086.31,6928.43,35688.2,3772097.04,28280315.41,8872549.61,20551031.02,40466464.85,73371255.19,118973824.95,208905961.21,243645794.31,294022397.6
d_0,3168.18,4103.45,3036.64,11770.77,8821.28,37600.71,3579923.24,9495380.04,23024455.57,13886118.0,42572579.75,48630296.14,131666006.91,291015210.6,222045810.19,287277429.64
c_0,3691.41,3550.3,6030.35,4478.49,6454.7,44095.49,4394676.16,10799133.3,14228881.18,40020581.01,87938774.34,50147663.26,123578969.17,378254572.46,291008223.79,256798591.15
b_0,3038.26,4389.96,6103.45,6882.89,6331.28,37049.52,4199263.5,10016623.55,12983092.53,17971402.67,89580274.08,42609232.73,138269963.54,366026926.92,499290158.58,281177964.26
f_0,2486.05,2504.58,6095.9,6869.61,8862.8,51261.01,3486443.09,10815372.6,13235385.34,23326281.5,44707804.36,96027440.28,145139555.28,397167301.09,277497127.69,636070356.53
h_0,3194.02,5999.34,5134.18,6044.74,7581.96,39609.03,2772052.71,12719902.39,12221526.15,18898755.43,38591274.66,37314228.6,95732426.58,396993683.63,231525562.77,250780591.96
g_0,2768.07,3352.95,8879.31,6413.27,8462.45,40668.3,3631589.13,6326346.66,11181713.48,16451358.36,41010140.37,65497990.47,131919023.97,202703607.79,174837216.73,221536188.18
a_0,3330.3,4304.39,4858.65,6955.78,8535.83,27894.22,4099157.47,9136717.29,13534397.7,24252769.52,47360751.46,47008423.24,159675396.64,315581345.65,621876884.52,241098366.03
e_0,1516.63,3747.48,5953.48,7438.89,8949.69,46450.59,4800850.78,10492062.94,13244570.2,21413609.58,46514180.29,52617864.08,136231670.84,363504453.97,243294213.08,758363951.34
