,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.12,5.57,5.6,5.32,4.65,4.64,1.38,0.91,2.42,0.95,0.98,0.91,0.73,1.13,0.47,0.86
f_1,4.74,1.12,4.98,5.8,5.5,5.22,1.02,1.7,1.09,0.97,0.87,2.03,0.46,0.85,0.95,0.88
e_1,6.74,2.89,1.12,5.88,5.26,5.63,1.79,1.77,1.16,1.23,1.28,1.24,0.8,1.01,0.74,2.15
c_1,8.07,6.24,5.64,1.13,5.98,6.09,1.77,1.56,0.72,2.35,1.21,1.41,1.11,1.06,0.87,1.3
b_1,6.6,8.29,6.32,3.71,1.14,7.25,2.12,2.08,1.48,1.57,4.13,1.41,1.06,2.09,1.17,1.41
a_1,7.82,13.53,9.91,11.32,5.24,1.14,3.57,4.05,2.48,2.03,2.49,1.88,1.78,5.8,1.85,2.25
h_1,19.54,17.17,17.02,16.76,21.33,16.47,1.82,5.34,3.41,3.0,3.64,3.55,5.16,3.3,2.88,3.72
g_1,19.03,21.77,23.71,20.32,24.56,17.66,4.12,1.8,4.8,4.59,4.46,4.42,2.35,4.51,4.72,4.07
d_0,34.47,23.49,11.7,23.35,25.01,22.08,5.91,7.02,2.33,4.59,5.12,3.87,3.75,3.79,3.71,4.62
c_0,10.84,25.69,21.43,64.48,27.24,22.86,7.33,6.95,6.47,2.5,4.96,4.62,3.51,4.06,3.03,4.44
b_0,19.44,26.45,23.87,38.03,43.67,20.45,6.9,6.63,4.76,2.51,2.31,4.7,3.12,4.14,3.17,4.07
f_0,22.84,59.52,29.4,26.02,25.47,26.99,9.2,5.38,6.41,5.84,6.83,2.43,4.55,5.41,2.59,6.58
h_0,29.23,33.06,35.93,29.96,36.68,30.84,15.05,9.68,7.22,6.53,5.97,6.96,8.92,5.8,4.85,5.61
a_0,32.92,39.24,37.05,35.31,38.21,69.39,9.41,14.32,9.27,6.22,4.66,5.38,4.92,2.6,5.06,7.6
g_0,38.46,41.52,43.38,50.27,38.75,36.66,9.2,31.13,9.27,9.51,7.99,7.91,4.46,8.29,8.31,9.77
e_0,35.13,70.02,91.21,46.34,42.98,37.37,10.75,10.85,7.15,6.73,10.98,3.43,7.38,8.64,5.29,2.67
