,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,2.18,2.13,1.82,1.98,1.87,0.79,0.96,0.74,0.75,0.7,1.68,0.46,0.69,0.62,0.58
e_1,1.43,0.66,2.61,2.16,2.29,1.46,0.95,1.39,0.82,0.73,0.73,0.93,0.55,0.68,1.26,0.61
c_1,2.09,1.89,0.65,2.39,2.32,2.43,0.99,0.96,0.51,1.18,0.78,0.64,0.56,0.72,0.78,0.59
d_1,2.15,2.52,1.82,0.65,2.19,1.64,0.87,0.67,1.57,0.84,0.9,0.74,0.72,0.74,0.78,0.41
b_1,2.44,2.12,1.57,2.06,0.63,2.81,0.98,0.98,0.96,1.1,1.64,0.81,0.73,0.66,0.68,0.72
a_1,3.09,3.31,2.39,2.76,1.58,0.57,1.43,1.21,0.93,0.81,1.0,0.83,0.89,,0.82,0.66
h_1,2.98,2.58,2.71,2.63,2.38,2.27,0.6,1.27,0.98,0.88,0.97,0.9,1.79,0.91,0.79,0.91
g_1,3.4,2.55,2.82,2.91,2.56,2.64,1.17,0.56,1.07,1.01,0.97,1.21,0.64,1.43,1.06,1.26
d_0,3.35,1.72,3.6,5.72,2.6,2.9,1.36,1.39,0.68,0.99,1.05,0.96,0.89,1.13,0.93,1.08
c_0,3.07,2.86,6.86,1.9,2.77,2.91,1.47,1.36,1.31,0.67,1.13,0.97,1.19,1.21,1.05,1.0
b_0,3.03,3.08,3.39,2.53,7.29,2.68,1.4,1.25,1.19,0.66,0.63,1.34,1.01,1.06,1.21,1.22
f_0,5.43,2.78,3.22,2.96,2.94,2.77,1.54,0.84,1.02,1.26,1.05,0.62,0.99,1.24,1.18,0.87
h_0,3.56,3.8,3.13,2.93,3.49,3.09,2.35,1.77,1.23,1.06,0.99,1.13,1.66,1.14,0.89,1.04
a_0,3.48,3.59,3.82,3.42,3.25,,1.59,1.16,1.28,1.13,0.77,1.35,1.0,0.6,1.11,0.9
e_0,4.81,6.3,3.16,3.6,3.25,3.08,1.79,1.23,1.29,1.17,1.07,0.75,1.52,1.77,0.58,1.08
g_0,3.84,3.24,3.69,4.72,3.28,4.17,1.2,2.09,1.18,1.16,1.11,1.19,0.87,1.35,1.2,1.55
