,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.38,0.83,0.74,0.78,1.49,0.61,1.49,1.35,1.58,0.74,1.64,0.96,2.21,1.33,1.16,1.81
f_1,0.85,2.39,0.86,1.36,0.68,0.51,1.51,1.27,1.75,1.6,0.84,1.65,1.74,0.81,1.49,1.61
d_1,0.7,0.97,2.43,0.76,0.76,0.56,1.66,1.47,1.07,3.2,1.81,2.43,2.15,1.6,1.51,2.05
e_1,1.05,0.83,0.7,2.45,0.81,0.6,1.38,1.42,3.16,1.44,1.67,1.54,2.02,0.91,1.41,2.06
b_1,0.86,0.83,0.81,0.76,2.53,1.32,1.53,1.2,1.56,1.43,1.5,0.97,2.09,1.27,1.12,1.73
a_1,0.99,0.99,0.73,0.72,0.72,3.11,1.55,1.6,1.78,1.74,1.86,1.59,2.12,1.76,1.11,1.9
h_1,0.92,1.25,0.99,0.83,0.71,0.72,3.27,1.94,1.61,1.87,1.82,1.86,1.64,1.43,1.59,2.69
g_1,0.87,0.83,1.47,0.71,0.76,0.57,1.92,3.49,1.65,1.89,2.92,1.67,2.0,1.87,1.42,1.79
d_0,1.65,0.92,0.6,0.87,0.93,0.7,1.52,1.44,3.01,1.09,1.77,1.53,2.02,1.36,1.62,2.07
c_0,0.82,1.05,1.07,0.82,0.61,0.61,1.93,1.79,1.89,3.21,1.92,3.79,2.67,1.8,1.95,2.49
f_0,1.01,0.7,1.13,0.77,0.94,0.76,1.94,1.66,1.69,1.97,3.15,2.09,2.38,3.29,1.61,2.32
b_0,0.92,1.16,1.03,0.88,0.57,0.49,1.84,1.57,2.02,1.87,1.48,3.13,2.68,1.65,3.32,2.36
h_0,0.94,1.21,0.96,0.88,0.81,0.64,1.39,2.16,1.87,1.81,1.86,1.79,1.74,1.61,1.9,2.86
e_0,1.0,1.17,1.04,0.59,0.9,0.8,1.99,1.72,1.64,1.62,2.02,1.61,2.79,3.48,1.6,2.33
a_0,0.91,0.99,1.14,0.86,0.85,0.47,1.89,1.66,1.79,1.7,1.36,1.8,2.21,1.47,3.36,2.19
g_0,0.97,0.78,1.43,0.71,0.87,0.53,1.64,1.1,1.71,2.11,2.62,2.03,2.41,1.75,1.75,1.85
