,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.12,4.82,5.48,5.24,4.73,5.82,1.19,0.95,0.81,2.19,0.86,0.91,1.05,0.65,0.86,0.42
f_1,4.33,1.12,5.05,4.94,4.89,5.53,1.0,1.73,1.17,1.01,0.99,2.91,0.94,0.53,1.22,0.84
e_1,5.97,3.28,1.13,6.67,6.71,6.63,1.81,1.92,1.04,1.19,1.34,1.34,1.34,0.93,2.56,1.02
c_1,8.2,6.86,4.41,1.13,5.75,4.59,1.95,1.85,2.58,0.57,0.98,1.2,0.92,0.81,1.11,0.86
b_1,8.06,7.03,7.34,3.89,1.14,5.32,2.69,2.45,2.19,1.46,3.99,1.53,1.46,1.29,1.14,1.36
a_1,9.34,13.73,11.05,8.03,4.57,1.14,4.09,2.96,2.38,2.02,3.01,1.92,5.85,1.64,1.9,1.87
h_1,15.58,18.42,17.83,17.05,18.89,13.5,1.78,4.64,3.81,3.75,3.49,3.12,3.83,5.0,3.54,2.36
g_1,23.61,24.93,23.95,18.89,21.29,20.82,4.59,1.8,4.53,4.51,4.28,3.84,4.2,2.15,4.49,4.62
c_0,11.73,24.93,21.44,56.34,24.39,26.81,6.4,7.86,2.27,7.97,4.59,3.67,4.66,3.33,4.28,3.28
d_0,48.13,23.34,12.24,24.46,23.13,25.09,7.46,7.95,5.64,2.62,5.39,5.51,6.1,3.83,5.11,3.99
b_0,18.58,28.19,23.11,38.95,72.51,27.56,5.68,5.86,2.59,6.16,2.43,4.67,4.71,3.47,4.72,3.48
f_0,22.48,59.11,29.04,30.05,31.94,25.09,8.25,4.71,5.74,6.41,5.49,2.37,5.7,4.51,6.34,2.56
a_0,28.66,29.56,30.38,43.82,43.98,97.85,11.0,8.87,6.17,7.32,3.86,7.0,2.55,4.56,7.67,5.01
h_0,28.66,34.9,36.87,35.45,40.04,33.74,15.6,8.14,8.22,7.23,7.93,7.4,6.19,8.54,5.66,4.88
e_0,39.52,60.08,63.1,43.22,39.46,26.81,10.46,7.52,8.02,9.01,8.27,3.1,7.87,7.59,2.57,4.33
g_0,33.22,44.7,41.01,42.64,48.78,36.24,8.67,17.74,8.12,12.2,8.63,6.91,9.84,5.19,8.98,8.56
