,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.32,0.9,0.99,0.88,0.68,0.57,0.66,0.57,0.63,0.58,0.5,0.48,0.54,0.42,0.57
e_1,0.77,1.0,0.97,1.21,0.93,0.87,0.74,0.73,0.59,0.9,0.7,0.75,0.65,0.59,0.57,0.57
d_1,1.09,1.01,1.0,0.84,0.98,0.79,0.72,0.59,0.84,0.69,0.66,0.65,0.59,0.65,0.58,0.48
c_1,1.01,0.81,1.19,1.0,1.38,0.79,0.76,0.7,0.61,0.49,0.53,0.65,0.56,0.59,0.54,0.52
b_1,1.14,1.08,1.03,0.72,1.0,1.5,0.79,0.68,0.74,0.66,0.66,0.64,0.62,0.53,0.67,0.56
a_1,1.46,1.15,1.25,1.26,0.69,1.0,0.86,0.81,0.82,0.83,0.92,0.73,0.89,0.68,0.72,0.55
h_1,1.74,1.45,1.35,1.33,1.29,1.11,1.0,0.99,0.89,0.93,0.87,0.8,0.85,0.73,0.7,0.92
g_1,1.52,1.36,1.68,1.43,1.48,1.26,1.01,1.0,1.02,0.82,1.03,1.11,0.82,0.88,0.82,0.8
c_0,1.76,1.62,1.19,1.62,1.27,1.19,1.09,0.98,1.0,1.3,1.27,0.9,0.94,0.98,0.85,0.83
d_0,1.58,1.13,1.44,2.05,1.47,1.2,1.08,1.25,0.76,1.0,1.0,0.93,0.98,0.89,0.88,0.91
b_0,1.77,1.35,1.48,1.94,1.51,1.07,1.14,0.95,0.79,0.91,1.0,0.86,0.98,1.21,0.91,0.86
f_0,2.02,1.37,1.56,1.6,1.54,1.3,1.28,0.87,1.13,1.08,1.14,1.0,0.97,1.0,1.22,0.73
h_0,2.04,1.53,1.68,1.81,1.61,1.13,1.13,1.2,1.08,1.01,0.97,1.01,0.99,0.91,0.97,1.05
a_0,1.86,1.62,1.55,1.79,1.82,1.61,1.36,1.11,1.01,1.08,0.82,1.02,1.06,1.0,1.0,1.05
e_0,2.41,1.75,1.73,1.89,1.48,1.35,1.47,1.22,1.19,1.11,1.09,0.81,1.01,1.02,1.0,0.95
g_0,1.73,1.7,2.05,1.94,1.85,1.78,1.1,1.23,1.21,1.05,1.16,1.36,0.92,0.92,1.05,1.0
