,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.41,0.44,0.62,0.71,0.62,0.55,0.32,0.33,0.34,0.28,0.28,0.34,0.23,0.26,0.25,0.33
f_1,0.64,0.4,0.55,0.61,0.58,0.51,0.27,0.27,0.34,0.25,0.28,0.28,0.18,0.24,0.26,0.24
d_1,0.6,0.62,0.39,0.63,0.58,0.59,0.3,0.35,0.25,0.29,0.26,0.26,0.21,0.26,0.17,0.26
c_1,0.51,0.6,0.7,0.38,0.66,0.58,0.34,0.18,0.33,0.3,0.26,0.26,0.22,0.25,0.22,0.22
b_1,0.61,0.66,0.67,0.39,0.36,0.68,0.35,0.24,0.34,0.38,0.36,0.27,0.24,0.27,0.25,0.29
a_1,0.62,0.7,0.67,0.55,0.38,0.31,0.31,0.32,0.33,0.29,0.32,0.29,0.27,0.38,0.24,0.25
h_1,0.58,0.6,0.56,0.53,0.52,0.54,0.23,0.27,0.33,0.24,0.26,0.25,0.26,0.23,0.24,0.25
d_0,0.43,0.54,0.69,0.65,0.65,0.5,0.32,0.22,0.34,0.25,0.25,0.26,0.23,0.26,0.24,0.27
g_1,0.59,0.59,0.56,0.61,0.56,0.52,0.26,0.27,0.2,0.25,0.26,0.27,0.18,0.25,0.23,0.23
c_0,0.58,0.63,0.39,0.78,0.55,0.62,0.32,0.37,0.28,0.22,0.32,0.29,0.24,0.26,0.23,0.3
b_0,0.53,0.54,0.51,0.69,0.67,0.58,0.32,0.27,0.31,0.18,0.21,0.26,0.22,0.26,0.23,0.24
f_0,0.55,0.66,0.6,0.59,0.55,0.52,0.3,0.26,0.23,0.23,0.25,0.2,0.2,0.24,0.16,0.3
h_0,0.58,0.58,0.56,0.6,0.53,0.48,0.34,0.26,0.33,0.23,0.25,0.26,0.24,0.22,0.23,0.25
a_0,0.6,0.6,0.52,0.57,0.67,0.57,0.3,0.24,0.31,0.22,0.17,0.28,0.24,0.18,0.21,0.25
g_0,0.54,0.56,0.6,0.6,0.62,0.52,0.24,0.26,0.35,0.24,0.23,0.26,0.18,0.25,0.21,0.28
e_0,0.64,0.65,0.58,0.6,0.53,0.52,0.31,0.26,0.28,0.23,0.24,0.16,0.22,0.23,0.17,0.18
