,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.44,6.02,4.59,4.0,4.12,4.49,1.25,0.74,0.83,4.38,0.81,0.73,0.54,0.89,0.73,0.35
e_1,4.7,0.44,2.47,4.16,4.92,4.08,1.6,1.41,0.86,1.02,0.78,1.16,0.63,0.97,4.34,0.8
f_1,3.79,4.36,0.44,4.66,4.25,4.05,0.95,2.32,0.84,0.81,0.82,3.55,0.42,0.81,0.86,0.67
c_1,6.04,4.22,4.21,0.4,5.59,5.01,1.41,1.1,3.12,0.51,1.2,1.02,0.66,0.88,0.8,0.79
b_1,5.8,5.18,5.1,2.81,0.38,7.45,1.28,1.4,1.21,0.92,6.89,1.0,0.58,1.15,1.21,0.83
a_1,8.97,5.08,7.16,6.43,2.99,0.33,1.55,1.8,1.28,1.33,1.74,1.0,1.57,4.7,1.27,0.78
h_1,4.19,5.33,6.39,4.44,4.57,5.26,0.36,1.89,1.12,1.02,0.98,0.8,2.48,0.84,0.79,0.72
g_1,4.99,5.82,6.61,6.67,5.91,4.58,1.25,0.32,1.12,1.12,1.3,0.91,0.69,1.23,1.33,2.02
c_0,2.72,5.85,5.64,26.89,6.2,5.97,1.62,1.69,0.46,1.43,0.93,1.1,0.8,0.79,1.19,0.82
d_0,19.02,2.74,6.85,5.78,6.32,5.57,1.56,2.53,1.15,0.44,1.28,1.26,0.92,1.32,1.07,1.02
b_0,4.24,5.33,5.56,8.79,15.01,5.54,1.63,1.71,0.56,1.49,0.4,1.19,1.17,1.17,1.23,1.05
f_0,4.86,5.27,16.85,5.75,6.91,4.85,1.55,1.24,1.24,1.19,1.46,0.42,1.22,1.25,1.32,0.59
h_0,6.66,6.03,6.8,7.28,9.85,5.25,6.16,1.92,1.15,1.38,1.38,1.24,3.18,1.11,1.42,1.12
a_0,5.57,5.27,10.04,12.32,10.91,12.66,2.56,1.6,1.15,1.69,0.64,1.4,0.92,0.38,1.33,0.99
e_0,6.14,19.31,9.31,11.13,5.48,5.82,1.52,1.76,1.29,1.22,1.63,0.65,1.29,1.28,0.34,1.14
g_0,6.44,7.11,11.3,6.84,7.75,6.2,1.67,4.02,1.41,1.64,1.24,1.69,0.88,1.41,1.45,2.64
