,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.92,0.67,0.34,0.37,0.32,0.23,0.38,0.31,0.26,0.4,0.29,0.2,0.38,0.21,0.16,0.29
e_1,0.45,0.92,0.35,0.42,0.33,0.24,0.38,0.34,0.28,0.6,0.32,0.29,0.38,0.26,0.17,0.32
d_1,0.43,0.4,0.93,0.27,0.33,0.29,0.36,0.63,0.32,0.29,0.42,0.34,0.41,0.28,0.25,0.33
c_1,0.39,0.33,0.39,0.91,0.64,0.24,0.34,0.21,0.3,0.3,0.22,0.28,0.37,0.23,0.23,0.32
b_1,0.39,0.36,0.41,0.33,0.91,0.5,0.39,0.34,0.27,0.34,0.21,0.28,0.37,0.18,0.2,0.31
a_1,0.46,0.41,0.41,0.39,0.32,0.89,0.46,0.37,0.29,0.41,0.32,0.31,0.4,0.18,0.2,0.32
h_1,0.6,0.44,0.45,0.39,0.34,0.25,0.66,0.38,0.37,0.34,0.37,0.29,0.33,0.29,0.21,0.41
c_0,0.53,0.45,0.46,0.33,0.32,0.23,0.39,0.57,0.39,0.42,0.63,0.34,0.46,0.37,0.28,0.34
g_1,0.37,0.37,0.64,0.39,0.38,0.25,0.37,0.45,0.63,0.33,0.34,0.47,0.41,0.25,0.25,0.28
d_0,0.45,0.42,0.36,0.64,0.41,0.21,0.42,0.31,0.31,0.51,0.34,0.26,0.43,0.29,0.22,0.31
b_0,0.5,0.48,0.45,0.41,0.32,0.19,0.44,0.43,0.36,0.39,0.56,0.33,0.44,0.53,0.27,0.33
f_0,0.38,0.37,0.46,0.42,0.42,0.26,0.43,0.46,0.34,0.36,0.38,0.52,0.46,0.38,0.48,0.33
h_0,0.56,0.46,0.46,0.4,0.36,0.22,0.33,0.41,0.39,0.37,0.31,0.3,0.3,0.24,0.27,0.4
a_0,0.48,0.42,0.43,0.46,0.41,0.19,0.41,0.39,0.33,0.38,0.4,0.32,0.41,0.49,0.31,0.31
e_0,0.47,0.33,0.49,0.42,0.39,0.25,0.43,0.43,0.4,0.37,0.4,0.36,0.49,0.3,0.5,0.37
g_0,0.4,0.37,0.6,0.39,0.35,0.25,0.41,0.41,0.29,0.34,0.39,0.5,0.42,0.3,0.31,0.27
