,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,96.19,106.9,97.43,125.77,169.07,407.89,10612.76,22273.53,25100.07,30109.35,33880.11,51248.0,100080.22,120844.92,224984.64,167630.48
e_1,56.96,106.19,87.53,143.08,188.58,476.29,12123.78,21488.63,38192.19,32568.39,37907.57,66000.46,105751.39,119248.06,256427.69,222866.46
d_1,60.34,61.11,134.71,101.64,155.49,381.45,11263.0,19167.22,19905.41,43242.36,37499.37,53462.83,99043.56,134731.02,204961.16,226475.94
c_1,56.82,56.53,75.25,157.26,227.85,428.75,9585.37,18193.02,17574.76,23334.47,23222.1,50214.49,90671.57,114017.54,191465.34,211522.27
b_1,51.5,51.28,69.6,76.39,220.33,549.02,8861.26,15416.08,18797.48,23879.69,21476.82,44296.76,86707.09,74665.91,202804.52,172972.35
a_1,40.0,38.19,58.68,59.53,88.34,472.77,7267.53,12358.35,13405.63,21270.77,22500.29,35928.92,65789.5,60249.02,132446.3,135832.52
h_1,19.0,16.91,24.12,28.14,37.41,87.37,3581.21,6056.47,5940.59,7347.3,8328.73,12614.25,21261.78,30001.71,68550.55,59705.92
g_1,11.94,12.53,23.5,22.41,33.88,82.89,2171.13,5829.84,4400.98,6357.07,7009.46,13770.55,18661.72,25525.64,43126.94,48072.45
d_0,12.15,11.81,15.68,35.06,33.68,84.67,2190.87,3746.48,5672.15,4889.95,7377.36,10955.51,20347.65,25901.34,43839.48,49367.28
c_0,12.74,11.81,16.71,19.98,23.84,69.42,2266.92,4113.23,4451.41,7276.83,9830.95,10218.87,21059.52,27258.22,45365.4,50089.69
b_0,12.19,11.39,17.06,23.84,24.41,61.75,2166.23,3968.21,4078.77,5266.05,7715.87,9966.35,19207.78,36404.76,40028.88,46713.68
f_0,8.86,8.76,15.07,17.58,27.52,63.15,1905.7,2984.33,3602.13,5103.66,5715.78,11401.23,16313.73,21505.74,35222.76,62693.46
h_0,9.61,8.96,12.9,14.6,21.7,50.44,1412.74,3236.47,2804.33,3950.25,4481.91,7072.64,11938.66,16809.75,35896.4,26631.37
a_0,8.88,7.84,10.89,13.59,19.86,39.59,1509.33,2427.03,2677.68,3472.6,3521.95,6741.68,12602.8,19957.84,29552.83,30931.15
g_0,5.85,6.06,12.05,11.31,16.25,40.79,958.04,1916.12,2396.09,3333.65,3732.72,8035.85,10645.14,13172.25,22929.33,27775.78
e_0,7.71,6.45,8.72,11.38,16.31,34.28,1082.64,2052.06,2226.54,3066.46,3282.66,4340.17,10931.33,14187.42,22875.55,31917.14
