,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,87.35,52.26,69.96,118.47,109.85,431.44,11360.82,30336.44,20672.34,19980.43,35629.43,43890.99,106248.41,135861.45,179028.32,306408.6
f_1,61.41,104.02,67.8,79.14,109.35,333.7,8519.1,15629.3,16693.61,19733.59,35737.52,23763.91,87832.95,99143.22,165876.84,219597.56
d_1,37.9,50.27,138.97,65.68,87.23,293.57,9156.57,11579.63,15516.97,30708.34,34275.65,40867.08,88898.77,139700.98,141567.74,206090.9
c_1,28.8,47.88,65.22,151.53,149.51,332.61,8732.19,10096.66,16573.32,10037.72,26234.61,35083.32,81368.18,99479.33,120163.79,215239.64
b_1,34.37,39.04,58.92,53.21,186.76,544.98,8135.4,13240.73,14895.27,15310.88,18520.13,36414.87,94206.79,99078.93,108135.45,216860.11
a_1,19.52,33.09,44.14,42.84,42.02,547.41,5987.97,9180.41,9385.56,14126.35,19061.62,22573.07,51171.53,75376.07,51984.7,157369.45
h_1,9.77,16.47,17.39,19.7,25.39,81.38,3780.55,3794.78,5510.73,4816.76,7777.01,8129.81,18877.31,32084.06,36629.94,71999.72
d_0,7.6,10.65,11.77,31.01,21.71,80.07,2074.7,4836.27,3730.76,3815.69,6497.22,9861.3,19279.73,26646.42,34314.75,59903.28
g_1,7.98,8.93,22.36,13.19,19.0,78.24,1679.14,2900.82,6275.97,4397.41,6319.15,11962.72,17519.82,28673.34,34531.0,40127.55
c_0,9.34,10.94,14.76,13.05,18.77,59.0,2092.51,2913.97,3648.05,5970.52,11010.02,8223.3,19171.36,30450.47,35225.88,48096.58
b_0,8.57,8.67,13.0,13.57,10.27,55.16,1738.37,3024.62,3263.26,3313.2,8395.05,7446.72,18562.59,25438.42,53213.5,41387.89
f_0,6.3,8.24,12.51,12.59,15.91,60.29,2017.13,2618.02,2826.21,3830.79,5680.14,9799.36,15962.85,36630.17,20037.87,41592.46
h_0,5.25,8.26,10.57,10.61,10.0,45.09,951.26,2146.35,2885.47,2686.37,4379.98,5528.06,8892.26,17678.89,18499.56,43931.03
e_0,3.21,7.61,7.52,9.72,9.91,38.7,1220.12,1840.77,1917.08,2601.06,3815.81,4534.99,10877.85,25018.53,15234.32,30633.42
a_0,4.3,5.8,8.43,8.68,9.66,25.48,1021.03,1622.65,2123.47,2087.2,2924.06,4822.64,10860.39,18125.83,27587.91,26017.57
g_0,3.28,4.55,9.43,8.37,9.7,30.13,869.92,1234.72,1535.77,2011.37,3049.42,5469.59,7378.47,12442.02,13827.44,19829.67
