,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.18,6.15,12.39,13.54,13.8,18.02,3.96,2.35,4.36,2.84,2.5,3.55,1.33,3.22,2.46,
f_1,14.14,0.16,12.48,13.0,14.17,14.3,2.44,2.8,3.09,1.99,2.66,,1.39,2.7,2.2,2.2
d_1,18.82,10.78,0.16,12.28,10.86,13.89,3.38,,2.18,3.27,3.26,2.0,2.0,2.5,1.07,2.05
c_1,12.85,12.31,16.83,0.16,12.34,13.7,6.1,1.36,3.73,,2.17,2.21,1.68,4.32,1.56,1.94
b_1,10.84,12.88,11.47,7.4,0.14,9.96,3.84,2.66,3.54,3.18,,2.76,1.4,4.28,2.0,
a_1,12.25,17.88,14.62,10.15,6.55,0.1,2.92,2.36,,2.44,3.01,2.97,2.69,,1.97,2.37
h_1,2.73,4.1,2.78,3.14,2.77,3.54,0.07,0.82,1.05,0.66,0.52,0.6,,0.67,0.56,0.81
d_0,1.8,2.73,,2.61,3.66,2.27,0.66,0.09,0.58,0.38,0.66,0.49,0.37,0.47,0.31,0.53
g_1,3.84,4.72,3.48,2.86,3.54,,0.57,0.97,0.05,0.85,1.09,0.52,0.33,0.5,,0.81
c_0,2.08,2.74,1.39,,2.38,2.14,1.08,0.58,0.67,0.08,0.53,0.55,0.43,0.54,0.32,0.41
b_0,3.18,2.76,2.58,3.52,,2.82,0.86,0.41,0.79,0.3,0.07,0.75,0.27,0.53,0.33,0.33
f_0,3.26,,2.31,2.52,2.37,2.12,0.78,0.58,0.38,0.47,0.46,0.07,0.55,0.42,0.23,
h_0,1.56,1.7,1.7,1.73,1.79,1.66,,0.31,0.58,0.31,0.3,0.3,,0.28,0.21,0.37
a_0,1.93,3.6,3.28,3.24,3.92,,0.67,0.59,0.83,0.75,0.22,0.47,0.31,0.05,,
g_0,2.46,1.49,1.75,1.86,1.57,2.69,0.23,0.42,,0.34,0.5,0.29,0.21,,,
e_0,,4.41,2.77,2.58,,2.03,0.63,0.39,0.74,0.58,0.55,,0.28,,,0.04
