,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.44,1.35,1.91,1.23,1.51,1.42,2.86,4.94,3.03,3.17,3.61,3.19,4.25,3.5,4.11,3.24
f_1,2.16,2.5,1.46,1.3,1.33,1.45,2.55,3.03,2.64,3.06,2.37,3.04,3.41,3.16,4.01,2.57
c_1,1.28,1.45,2.59,1.54,2.35,1.44,2.59,2.59,2.57,2.01,3.1,2.55,4.29,3.1,4.29,3.08
d_1,1.51,1.74,1.19,2.62,1.42,1.39,2.92,2.37,2.67,4.86,3.44,3.73,4.22,3.34,4.22,3.36
b_1,1.36,1.49,1.25,1.57,2.74,2.62,3.02,2.96,3.12,3.11,3.43,2.7,4.01,3.02,3.37,3.3
a_1,1.47,1.41,1.52,1.81,1.34,3.18,2.99,3.26,3.2,3.32,3.77,3.82,4.06,2.53,4.02,4.2
h_1,1.44,1.94,1.63,1.62,1.49,1.39,4.12,2.83,3.69,3.07,3.24,2.92,3.72,3.32,4.62,3.41
d_0,1.27,1.52,2.61,1.34,1.6,1.39,3.15,4.1,3.03,2.2,3.24,2.87,4.26,3.7,4.01,3.86
g_1,1.4,1.55,1.66,2.16,1.44,1.39,2.9,3.21,4.61,3.15,4.55,3.19,3.56,3.15,3.51,3.63
c_0,1.72,1.75,1.42,1.52,1.24,1.29,3.4,4.08,3.24,4.43,3.79,5.57,4.18,4.22,4.27,3.82
f_0,1.38,1.57,1.82,1.63,1.55,1.24,3.32,3.36,2.81,3.24,4.48,3.63,4.85,3.5,3.95,6.26
b_0,1.56,1.8,1.79,1.43,1.3,1.1,3.41,3.95,3.1,2.97,3.4,4.86,4.23,6.36,3.83,3.9
h_0,1.5,1.96,1.4,1.72,1.57,1.44,2.65,3.16,3.75,3.43,3.13,3.47,3.58,3.54,5.01,3.54
a_0,1.55,1.66,1.77,1.44,1.56,1.33,3.51,3.63,3.17,2.99,3.62,3.05,4.28,5.32,4.08,3.87
g_0,1.43,1.44,1.38,2.05,1.64,1.37,3.06,3.08,2.97,3.74,4.75,3.65,3.76,3.32,3.92,4.14
e_0,1.32,1.8,1.8,1.83,1.57,1.15,3.22,3.21,3.22,3.37,2.74,3.25,4.53,3.87,4.12,5.51
