,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.93,0.44,0.31,0.3,0.26,0.16,0.15,0.16,0.17,0.15,0.16,0.08,0.11,0.14,0.15,0.08
e_1,0.29,0.94,0.26,0.25,0.24,0.17,0.21,0.16,0.31,0.2,0.19,0.18,0.14,0.16,0.13,0.07
d_1,0.29,0.28,0.94,0.25,0.23,0.22,0.2,0.14,0.09,0.3,0.2,0.16,0.12,0.2,0.11,0.14
c_1,0.3,0.35,0.29,0.94,0.4,0.19,0.17,0.16,0.14,0.07,0.14,0.15,0.14,0.16,0.13,0.1
b_1,0.28,0.31,0.32,0.25,0.93,0.37,0.22,0.17,0.2,0.16,0.08,0.19,0.12,0.17,0.14,0.12
a_1,0.38,0.37,0.35,0.3,0.22,0.93,0.28,0.23,0.2,0.22,0.17,0.14,0.09,0.19,0.14,0.12
h_1,0.79,0.49,0.53,0.54,0.39,0.31,0.73,0.38,0.38,0.37,0.26,0.28,0.21,0.2,0.32,0.23
g_1,0.53,0.54,0.91,0.6,0.4,0.31,0.34,0.72,0.24,0.31,0.28,0.34,0.19,0.25,0.2,0.21
d_0,0.64,0.46,0.36,1.01,0.49,0.41,0.4,0.37,0.6,0.35,0.32,0.3,0.28,0.34,0.26,0.22
c_0,0.79,0.58,0.53,0.45,0.45,0.37,0.37,0.43,0.37,0.62,0.66,0.35,0.33,0.35,0.27,0.22
b_0,0.74,0.56,0.55,0.7,0.37,0.39,0.46,0.34,0.42,0.27,0.6,0.28,0.53,0.41,0.34,0.27
f_0,0.5,0.5,0.7,0.68,0.48,0.53,0.49,0.33,0.44,0.4,0.38,0.59,0.3,0.34,0.31,0.54
a_0,0.91,0.68,0.7,0.73,0.55,,0.45,0.46,0.42,0.36,0.35,0.34,0.61,0.37,0.31,0.2
h_0,1.03,0.6,0.57,0.69,0.5,0.37,0.22,0.49,0.34,0.39,0.33,0.36,0.32,0.26,0.4,0.25
g_0,0.59,0.68,0.98,0.66,0.55,0.5,0.41,0.24,0.48,0.42,0.34,0.49,0.35,0.31,0.21,0.29
e_0,0.99,0.44,0.63,0.82,0.56,0.45,0.42,0.32,0.48,0.5,0.43,0.22,0.36,0.39,0.34,0.6
