,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,1.49,1.67,1.59,1.79,2.18,0.38,0.34,0.44,0.3,0.28,1.27,0.15,0.33,0.28,0.33
e_1,0.9,0.17,1.87,2.15,1.92,1.61,0.49,0.35,0.47,0.39,0.33,0.49,0.24,0.39,0.26,1.18
d_1,1.96,2.19,0.16,1.49,1.41,1.66,0.42,0.34,0.33,1.67,0.48,0.32,0.25,0.24,0.16,0.31
c_1,1.87,1.54,1.7,0.16,1.41,1.45,0.55,1.0,0.45,0.2,0.34,0.29,0.22,0.34,0.28,0.3
b_1,1.92,1.88,1.43,0.88,0.13,1.89,0.51,0.43,0.47,0.36,1.71,0.33,0.34,0.37,0.23,0.29
a_1,1.47,2.59,2.22,1.58,0.89,0.09,0.38,0.43,0.59,0.49,0.39,0.32,0.26,1.46,0.29,0.32
h_1,1.04,0.87,0.82,0.87,0.95,0.85,0.07,0.18,0.35,0.17,0.25,0.18,0.54,0.2,0.14,0.2
c_0,1.06,0.83,0.47,3.19,1.01,0.86,0.3,0.07,0.31,0.27,0.19,0.16,0.14,0.21,0.14,0.14
g_1,1.04,0.93,1.02,1.15,1.02,0.73,0.2,0.14,0.05,0.18,0.16,0.16,0.1,0.22,0.27,0.22
d_0,1.17,0.47,3.06,1.02,0.98,0.86,0.29,0.17,0.39,0.07,0.2,0.17,0.14,0.17,0.14,0.16
b_0,0.8,0.88,1.0,1.27,3.42,0.81,0.23,0.09,0.27,0.17,0.06,0.16,0.13,0.26,0.15,0.2
f_0,3.07,0.81,0.93,0.93,0.88,0.93,0.27,0.16,0.17,0.18,0.14,0.06,0.13,0.19,0.07,0.14
h_0,0.86,0.77,0.96,0.87,1.03,0.83,0.69,0.18,0.34,0.21,0.19,0.19,0.32,0.15,0.14,0.18
a_0,1.01,0.78,1.0,1.13,0.93,,0.31,0.18,0.29,0.16,0.08,0.14,0.16,0.05,0.15,0.25
g_0,0.9,0.88,0.94,0.86,1.2,0.98,0.18,0.22,0.82,0.15,0.18,0.21,0.12,0.18,0.31,0.19
e_0,1.42,1.65,0.7,1.0,1.05,0.87,0.26,0.16,0.25,0.15,0.18,0.08,0.16,0.17,0.13,0.04
