,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.97,0.49,0.57,0.66,0.66,0.58,2.13,1.84,5.58,2.74,2.78,3.08,4.16,2.62,0.78,4.68
d_1,0.59,6.2,0.6,0.52,0.59,0.51,2.71,2.27,0.75,5.42,3.35,2.9,3.46,2.85,3.22,4.3
f_1,0.95,0.52,6.17,0.65,0.6,0.58,1.79,1.83,2.52,2.91,2.71,0.94,4.48,3.68,2.74,4.35
c_1,0.65,0.57,0.72,6.66,1.08,0.4,2.09,2.13,2.81,0.55,2.08,1.91,4.52,3.7,2.64,3.62
b_1,0.58,0.65,0.6,0.55,7.11,1.21,2.43,2.45,2.87,2.98,0.48,2.36,4.29,1.98,2.68,3.61
a_1,0.55,0.73,0.44,0.61,0.52,10.3,2.04,2.33,2.8,3.21,3.15,3.9,4.81,0.61,2.83,5.62
h_1,0.97,0.81,1.5,1.05,0.73,1.26,15.63,4.55,4.79,4.95,5.21,5.4,2.97,4.85,5.06,8.82
g_1,0.86,1.68,0.93,1.08,0.91,0.74,3.97,16.32,3.68,4.69,4.73,7.98,7.27,5.18,5.87,1.8
d_0,0.95,0.33,1.21,2.1,0.91,0.97,3.59,4.1,13.5,4.33,5.85,5.56,9.26,5.35,6.9,6.6
c_0,1.31,1.24,1.22,0.38,0.83,0.99,3.66,4.22,4.17,13.12,10.61,5.92,7.71,6.13,6.94,6.87
b_0,0.95,1.2,1.32,1.27,0.38,1.01,3.49,4.38,4.82,5.25,15.27,6.28,6.72,10.15,5.66,7.12
f_0,1.01,1.49,0.45,1.01,0.82,1.32,4.64,3.5,5.43,4.87,5.15,16.91,9.98,6.13,13.81,8.54
h_0,0.7,1.47,1.49,1.06,1.06,0.71,1.63,4.45,4.81,4.3,4.32,5.15,3.13,4.95,5.86,10.48
a_0,0.95,0.84,1.0,1.44,1.33,0.34,4.23,4.7,4.98,3.9,7.76,7.38,7.89,20.35,6.79,8.1
e_0,0.27,1.34,1.38,1.25,0.94,0.75,4.89,4.06,5.97,5.49,6.33,5.32,10.69,7.51,23.92,9.47
g_0,0.91,1.59,1.01,1.24,0.83,0.98,3.6,,4.32,5.72,5.77,8.54,8.39,5.93,4.19,3.65
