,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,0.27,0.47,0.45,0.52,0.43,0.15,0.1,0.15,0.1,0.1,0.13,0.06,0.1,0.17,0.08
f_1,0.41,0.17,0.44,0.49,0.41,0.44,0.1,0.1,0.14,0.09,0.09,0.14,0.05,0.09,0.08,0.07
d_1,0.45,0.51,0.16,0.47,0.43,0.41,0.12,0.1,0.08,0.14,0.08,0.09,0.06,0.08,0.1,0.04
c_1,0.36,0.45,0.6,0.13,0.42,0.41,0.14,0.14,0.15,0.05,0.1,0.08,0.07,0.09,0.09,0.06
b_1,0.47,0.5,0.47,0.25,0.12,0.47,0.14,0.11,0.12,0.09,0.13,0.09,0.07,0.1,0.1,0.08
a_1,0.51,0.46,0.43,0.44,0.22,0.1,0.14,0.11,0.13,0.11,0.14,0.11,0.08,0.22,0.09,0.08
h_1,0.38,0.43,0.37,0.44,0.37,0.32,0.06,0.07,0.12,0.09,0.08,0.08,0.08,0.08,0.07,0.06
c_0,0.43,0.48,0.23,0.66,0.45,0.4,0.12,0.05,0.11,0.1,0.08,0.08,0.06,0.08,0.07,0.06
g_1,0.43,0.49,0.38,0.4,0.41,0.32,0.09,0.07,0.05,0.08,0.08,0.08,0.05,0.08,0.07,0.07
d_0,0.26,0.39,0.54,0.43,0.47,0.44,0.13,0.09,0.13,0.06,0.09,0.07,0.06,0.08,0.09,0.06
b_0,0.42,0.4,0.35,0.43,0.62,0.36,0.11,0.05,0.11,0.08,0.05,0.07,0.05,0.09,0.08,0.05
f_0,0.41,0.66,0.37,0.4,0.41,0.31,0.1,0.07,0.07,0.08,0.08,0.05,0.07,0.08,0.07,0.04
h_0,0.38,0.4,0.35,0.41,0.39,0.34,0.16,0.08,0.13,0.08,0.09,0.08,0.08,0.07,0.06,0.06
a_0,0.39,0.45,0.33,0.49,0.49,0.47,0.11,0.07,0.1,0.08,0.04,0.07,0.06,0.04,0.07,0.05
e_0,0.52,0.6,0.34,0.44,0.37,0.27,0.1,0.08,0.1,0.08,0.08,0.04,0.06,0.08,0.04,0.05
g_0,0.38,0.46,0.36,0.41,0.39,0.37,0.09,0.08,0.17,0.07,0.09,0.08,0.05,0.08,0.07,0.07
