,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.17,0.28,0.51,0.47,0.5,0.44,0.14,0.15,0.09,0.1,0.13,0.09,0.07,0.1,0.13,0.07
f_1,0.43,0.17,0.42,0.45,0.45,0.46,0.1,0.15,0.09,0.08,0.13,0.08,0.05,0.08,0.08,0.07
d_1,0.51,0.55,0.16,0.55,0.44,0.36,0.12,0.08,0.16,0.08,0.08,0.09,0.06,0.09,0.08,0.04
c_1,0.38,0.47,0.57,0.15,0.44,0.35,0.13,0.14,0.05,0.13,0.09,0.09,0.07,0.08,0.09,0.07
b_1,0.44,0.58,0.54,0.24,0.13,0.46,0.15,0.14,0.09,0.16,0.1,0.16,0.07,0.09,0.09,0.08
a_1,0.42,0.49,0.5,0.47,0.23,0.09,0.15,0.14,0.11,0.11,0.1,0.13,0.08,0.13,0.14,0.08
h_1,0.41,0.41,0.38,0.4,0.41,0.33,0.05,0.11,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06
g_1,0.43,0.44,0.4,0.4,0.38,0.39,0.07,0.05,0.1,0.1,0.08,0.08,0.04,0.07,0.07,0.08
d_0,0.24,0.4,0.8,0.44,0.36,0.36,0.13,0.14,0.06,0.09,0.08,0.09,0.08,0.08,0.08,0.07
c_0,0.43,0.43,0.24,0.76,0.43,0.36,0.13,0.12,0.14,0.05,0.09,0.09,0.05,0.08,0.07,0.06
f_0,0.38,0.61,0.36,0.42,0.39,0.34,0.11,0.07,0.09,0.07,0.04,0.08,0.06,0.08,0.09,0.04
b_0,0.4,0.42,0.31,0.57,0.6,0.41,0.1,0.12,0.09,0.05,0.07,0.05,0.06,0.07,0.06,0.05
h_0,0.36,0.39,0.39,0.41,0.42,0.37,0.14,0.12,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06
a_0,0.37,0.44,0.33,0.42,0.49,0.57,0.12,0.1,0.08,0.08,0.09,0.04,0.06,0.04,0.08,0.05
e_0,0.46,0.57,0.34,0.39,0.38,0.35,0.11,0.09,0.09,0.08,0.04,0.08,0.07,0.08,0.04,0.05
g_0,0.4,0.39,0.35,0.42,0.42,0.39,0.08,0.11,0.1,0.08,0.08,0.07,0.05,0.08,0.08,0.07
