,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.63,0.61,0.58,0.58,0.51,0.27,0.28,0.3,0.25,0.27,0.28,0.19,0.26,0.24,0.24
e_1,0.44,0.4,0.56,0.68,0.63,0.58,0.35,0.32,0.34,0.27,0.26,0.32,0.23,0.27,0.24,0.34
d_1,0.64,0.67,0.39,0.55,0.58,0.57,0.32,0.32,0.23,0.29,0.26,0.25,0.22,0.25,0.17,0.25
c_1,0.59,0.49,0.73,0.38,0.6,0.57,0.32,0.18,0.35,0.29,0.25,0.26,0.24,0.25,0.21,0.29
b_1,0.63,0.58,0.62,0.42,0.36,0.73,0.33,0.26,0.33,0.36,0.36,0.24,0.21,0.24,0.24,0.27
a_1,0.73,0.63,0.59,0.55,0.38,0.3,0.34,0.34,0.34,0.33,0.36,0.29,0.27,0.32,0.22,0.28
h_1,0.67,0.54,0.59,0.57,0.56,0.43,0.24,0.24,0.33,0.24,0.23,0.23,0.25,0.22,0.24,0.22
d_0,0.52,0.39,0.71,0.73,0.62,0.49,0.34,0.23,0.37,0.24,0.25,0.27,0.24,0.25,0.25,0.33
g_1,0.62,0.56,0.66,0.53,0.57,0.5,0.26,0.27,0.21,0.27,0.25,0.26,0.18,0.24,0.23,0.24
c_0,0.68,0.58,0.42,0.72,0.56,0.48,0.34,0.33,0.29,0.22,0.28,0.25,0.25,0.29,0.22,0.27
b_0,0.6,0.56,0.51,0.71,0.63,0.44,0.32,0.28,0.3,0.18,0.2,0.25,0.23,0.29,0.21,0.22
f_0,0.69,0.5,0.55,0.55,0.61,0.51,0.31,0.26,0.23,0.25,0.24,0.2,0.23,0.26,0.17,0.3
h_0,0.61,0.57,0.56,0.51,0.58,0.52,0.33,0.25,0.32,0.24,0.24,0.24,0.23,0.24,0.21,0.22
a_0,0.6,0.53,0.53,0.65,0.68,0.53,0.34,0.27,0.29,0.21,0.17,0.24,0.23,0.19,0.21,0.23
g_0,0.56,0.56,0.58,0.58,0.56,0.51,0.25,0.24,0.34,0.23,0.23,0.29,0.19,0.25,0.24,0.27
e_0,0.67,0.61,0.55,0.56,0.53,0.51,0.32,0.24,0.29,0.24,0.23,0.16,0.23,0.28,0.19,0.17
