,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10.56,0.78,1.11,0.59,0.62,0.56,0.95,2.43,0.92,0.72,1.05,1.01,0.9,1.07,0.7,0.98
f_1,2.07,11.59,0.71,0.59,0.57,0.6,0.88,1.05,0.81,0.81,0.94,0.61,0.88,0.83,0.7,0.83
c_1,0.56,0.62,10.37,0.74,1.94,0.64,0.82,0.88,0.78,0.55,0.6,1.01,0.97,0.82,0.92,0.93
d_1,0.57,0.73,0.48,15.11,0.68,0.73,1.19,0.56,1.14,2.65,1.18,1.1,1.1,1.04,1.05,1.12
b_1,0.58,0.68,0.63,0.69,12.46,2.04,0.81,0.76,0.87,0.82,0.62,0.85,0.93,0.77,1.05,0.84
a_1,0.69,0.73,0.72,0.81,0.6,17.19,0.84,0.73,1.09,1.03,1.29,1.03,1.24,0.93,1.08,1.05
h_1,0.74,1.27,0.7,0.97,0.58,0.58,3.69,0.82,1.61,1.14,0.99,1.05,0.8,1.19,0.91,1.46
d_0,0.66,0.83,2.36,0.45,0.87,0.74,1.19,1.79,0.79,0.62,1.02,0.93,0.98,1.16,1.07,1.0
g_1,0.58,0.71,0.67,1.56,0.7,0.72,1.13,0.77,4.14,1.28,1.12,2.18,1.16,0.89,1.4,0.96
c_0,0.81,1.0,0.65,0.94,0.52,0.71,1.22,1.08,1.28,2.23,3.21,1.16,1.31,1.52,1.4,1.11
b_0,0.76,0.83,1.08,0.98,0.44,0.52,1.18,1.27,0.97,1.19,2.52,1.08,1.14,3.18,1.37,1.24
f_0,0.48,0.67,0.87,0.93,0.85,0.94,1.34,1.1,1.15,1.04,1.43,2.54,1.32,1.01,3.53,1.4
h_0,0.88,1.36,0.72,1.06,0.68,0.67,0.81,0.81,1.47,0.92,0.96,1.06,0.72,0.98,1.03,1.43
a_0,0.72,0.96,0.93,0.86,0.64,0.66,1.2,1.15,0.82,1.34,1.17,1.13,1.25,2.55,1.13,1.13
e_0,0.54,0.96,0.87,0.92,0.72,1.05,1.16,0.71,0.99,0.96,0.97,1.12,1.19,1.08,2.99,1.46
g_0,0.59,0.61,0.65,2.14,0.78,0.65,0.94,0.71,0.9,1.13,1.21,1.9,1.12,1.21,1.5,0.8
